" for more information or "," за повеќе информации или "
"# of Items (and above)","# на продукти (и погоре)"
"Allow Shipping to Multiple Addresses","Дозволи испорака на различни адреси"
"City","Град"
"Close Window","Затвори го прозорецот"
"Country","Држава"
"Date","Датум"
"Description","Опис"
"Enabled","Овозможено"
"Export","Извоз"
"Free Shipping","Бесплатна испорака"
"Import","Увоз"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Максимална кол. дозволена за испорака на различни адреси"
"None","Нема"
"Options","Опции"
"Per Order","По нарачка"
"Percent","Процент"
"Price","Цена"
"Region/State","Регион/State"
"Shipping Methods","Начини на испорака"
"Status:","Статус:"
"Street Address","Улица"
"Title","Наслов"
"ZIP/Postal Code","Поштенски код"
