"Actions","Акции"
"Active","Активен"
"Apply","Примени"
"Apply To","Примени на"
"Catalog","Каталог"
"Coupon Code","Купон код"
"Coupon Qty","Кол. на купони"
"Customer Groups","Групи на купувачи"
"Description","Опис"
"Discount Amount","Вредност на попус"
"Free Shipping","Бесплатна испорака"
"General Information","Општи информации"
"Inactive","Неактивен"
"No","Не"
"Payment Method","Начин на плаќање"
"Period","Период"
"Price in cart","Цена во кошничка"
"Priority","Приоритет"
"Promotions","Промоции"
"Quantity in cart","Количина во кошничка"
"Save and Continue Edit","Зачивај и продолжи да изменуваш"
"Shipping Method","Начин на испорака"
"Status","Статус"
"Subtotal","Вкупно"
"This rule no longer exists.","Правилото повеќе не постои."
"Total","Вкупно"
"Used","Користено"
"Website","Веб страна"
"Yes","Да"
