"Actions","Акции"
"Active","Активен"
"Apply","Примени"
"Attribute Set","Множество на атрибути"
"Catalog","Каталог"
"Category","Категорија"
"Customer Groups","Групи на купувачи"
"Date From","Датум од"
"Date To","Датум до"
"Description","Опис"
"Discount Amount","Вредност на попус"
"Expiration Date","Датум на истекување"
"General Information","Општи информации"
"Inactive","Неактивен"
"No","Не"
"Options","Опции"
"Priority","Приоритет"
"Promotions","Промоции"
"Save and Apply","Зачивај и примени"
"Save and Continue Edit","Зачивај и продолжи да изменуваш"
"Status","Статус"
"This rule no longer exists.","Правилото повеќе не постои."
"Website","Веб страна"
"Yes","Да"
