"Add New Rating","Lisa uus reiting"
"Be the first to review this product","Ole esimene arvustaja"
"Default Value","Vaikeväärtus"
"Delete Rating","Kustuta reiting"
"Manage Ratings","Halda reitinguid"
"New Rating","Uus reiting"
"Option Title","Valiku nimi"
"Save Rating","Salvesta reiting"
"Sort Order","Sorteerimise järjekord"
