"* Required Fields","* Kohustuslikud väljad"
"-- Please Select --","-- Vali --"
"A group with the same name already exists.","Selle nimega grupp on juba olemas."
"ALL GROUPS","KÕIK GRUPID"
"Action","Toiming"
"Add","Lisa"
"Add Attribute","Lisa Atribuut"
"Add Design Change","Lisa kujunduse muudatus"
"Add Group","Lisa grupp"
"Add New","Lisa uus"
"Add New Attribute","Lisa uus atribuut"
"Add New Attribute Set","Lisa uus atribuudikogum"
"Add New Group","Lisa uus grupp"
"Add New Images","Lisa uued pildid"
"Add New Option","Lisa uus valik"
"Add New Row","Lisa uus rida"
"Add New Search Term","Lisada uus otsisõna"
"Add Product","Lisa toode"
"Add Product To Websites","Lisa toode veebilehtedele"
"Add Root Category","Lisa juurkategooria"
"Add Subcategory","Lisa alamkategooria"
"Add Tax","Lisa maks"
"Add to Cart","Lisa ostukorvi"
"Add to Compare","Lisa võrdlusesse"
"Add to Wishlist","Lisa soovikorvi"
"All","Kõik"
"All Product Types","Kõik tootetüübid"
"All Websites","Kõik veebisaidid"
"All products","Kõik tooted"
"Allow All Products per Page","Luba kõik tooted lehel"
"Amount","Kogus"
"Approved","Kinnitatud"
"Are you sure you want to delete this category?","Kas olete kindel, et soovite selle kategooria kustutada?"
"Are you sure?","Kindel?"
"Attribute Information","Atribuudi Informatsioon"
"Attribute Set","Atribuudikogum"
"Attribute Sets","Atribuudikogumid"
"Attributes","Atribuudid"
"Availability:","Saadavus:"
"Back","Tagasi"
"Backorders","Järeltellimused"
"Based On","Põhineb"
"Block after Info Column","Peale info veeru blokki"
"Bottom/Left","All/Vasakul"
"Bottom/Right","All/Paremal"
"Cache Lifetime (Seconds)","Vahemälu eluiga (sekundites)"
"Cancel","Tühista"
"Catalog","Kataloog"
"Catalog, Search","Kataloog, otsing"
"Categories","Kategooriad"
"Category","Kategooria"
"Category Flat Data","Kategooria lameandmed"
"Category Products","Kategooria tooted"
"Center","Keskel"
"Change","Vaheta"
"Change status","Muuda staatust"
"Choose an Option...","Tehke valik..."
"Clear All","Tühjenda kõik"
"Click for price","Vajuta et hinda näha"
"Close Window","Sulge aken"
"Collapse All","Sulge kõik"
"Comma-separated.","Komaga eraldatud."
"Comparable","Võrreldav"
"Compare","Võrdle"
"Compare Products","Võrdle tooteid"
"Conditions Combination","Tingimuste kombinatsioon"
"Configure Product","Konfigureeri toodet"
"Continue","Jätka"
"Create","Loo"
