"--Please Select--","--Palun Valige--"
"Accepted Currency","Lubatud valuutad"
"Authorize.net Direct Post","Authorize.net otse postitus"
"Card Verification Number","Kaardi turvakood"
"Close","Sulge"
"Credit Card Information","Krediitkaardi andmed"
"Credit Card Number","Krediitkaardi number"
"Credit Card Type","Krediitkaardi tüüp"
"Credit Card Types","Krediitkaardi tüübid"
"Credit Card Verification","Krediitkaardi andmete kinnitus"
"Debug","Silumine"
"Email Customer","Kliendi email"
"Enabled","Lubatud"
"Expiration Date","Aegumiskuupäev"
"Gateway URL","Värava URL"
"Maximum Order Total","Maksimaalne tellimuse summa"
"Merchant MD5","Kaupmehe MD5"
"Merchant's Email","Kaupmehe e-mail"
"Minimum Order Total","Minimaalne tellimuse summa"
"New Order Status","Uue tellimuse staatus"
"Payment Action","Makse tegevus"
"Payment from Applicable Countries","Maksed sobivatest maadest"
"Payment from Specific Countries","Maksed konkreetsetest maadest"
"Sort Order","Sorteerimise järjekord"
"Test Mode","Testrežiim"
"Title","Pealkiri"
"Transaction Key","Tehingu võti"
"What is this?","Mis see on?"
