"Action","Toiming"
"Add New Block","Lisa uus plokk"
"Add New Page","Lisa uus leht"
"All Countries","Kõik riigid"
"Block","Plokk"
"Block Information","Plokki teave"
"Block Title","Ploki pealkiri"
"CMS","Sisuhaldus"
"CMS Home Page","Avalehe CMS"
"CMS Static Block","CMS staatiline plokk"
"Collapse All","Sulge kõik"
"Content","Sisu"
"Content Heading","Sisu pealkiri"
"Contents of a Static Block","Staatilise ploki sisu"
"Custom Design","Kujunduse kohandus"
"Delete Block","Kustuta plokk"
"Delete File","Kustuta fail"
"Delete Folder","Kustuta kaust"
"Delete Page","Kustuta leht"
"Description","Kirjeldus"
"Design","Kujundus"
"Disabled","Keelatud"
"Disabled Completely","Täielikult keelatud"
"Disabled by Default","Vaikimisi keelatud"
"Edit Block","Muuda plokki"
"Edit Page","Muuda lehte"
"Enabled","Lubatud"
"Enabled by Default","Vaikimisi lubatud"
"Expand All","Ava kõik"
"General Information","Üldinfo"
"Go to Home Page","Avalehele"
"Home","Avaleht"
"Identifier","Tunnus"
"Insert File","Lisa fail"
"Layout","Paigutus"
"Layout Update XML","Paigutuse uuenduse XML"
"Manage Pages","Halda lehti"
"Media Storage","Meedia hoidla"
"Meta Description","Meta kirjeldus"
"Meta Keywords","Meta märksõnad"
"New Block","Uus plokk"
"New Folder Name:","Uue kausta nimi:"
"New Page","Uus leht"
"Page Information","Leheseaded"
"Page Title","Lehe pealkiri"
"Pages","Lehed"
"Save Page","Salvesta leht"
"Select Block...","Valige plokk..."
"Static Blocks","Staatilised plokid"
"Status","Staatus"
"Storage Root","Failide juurkataloog"
"Store View","Poevaade"
"Template","Mall"
"The page has been deleted.","Leht kustutatud."
"This block no longer exists.","Seda plokki ei eksisteeri enam."
"This page no longer exists.","Seda lehte ei eksisteeri enam."
"Title","Pealkiri"
"URL Key","URL-i tunnus"
