"-- Please Select --","-- Vali --"
"Add New Class","Lisa uus klass"
"Add New Tax Rate","Lisa uus maksumäär"
"Add New Tax Rule","Lisa uus maksureegel"
"After Discount","Pärast allahindlust"
"Apply Tax On","Rakenda maksud"
"Are you sure you want to do this?","Olete kinde, et soovite seda teha?"
"Back","Tagasi"
"Before Discount","Enne allahindlust"
"Calculation Settings","Arvutuse seaded"
"Catalog Prices","Kataloogi hinnad"
"Code","Kood"
"Country","Riik"
"Customer Tax Class","Kliendi maksuklass"
"Customer Tax Classes","Kliendi maksuklassid"
"Default Country","Vaikeriik"
"Default Post Code","Vaikimisi postiindeks"
"Default State","Vaikimsi riik"
"Default Tax Destination Calculation","Vaikimisi maksu sihtkoha kalkulatsioon"
"Delete Rate","Kustuta määr"
"Delete Rule","Kustuta reegel"
"Display Full Tax Summary","Näita kogu maksu kokkuvõtet"
"Display Prices","Näida hindu"
"Display Shipping Amount","Näita tarne summat"
"Display Shipping Prices","Näita tarne hindasi"
"Display Subtotal","Kuva vahesumma"
"Display Zero Tax Subtotal","Näita null maksu vahesummat"
"Edit Rule","Muuda reeglit"
"Edit Tax Rate","Muuda maksumäära"
"Excel XML","Exceli XML"
"Excl. Tax","Ilma maksuta"
"Excluding Tax","Maksuta"
"Grand Total (Excl. Tax)","Kokku (maksudeta)"
"Grand Total (Excl.Tax)","Kokku (maksudeta)"
"Grand Total (Incl. Tax)","Kokku (maksudega)"
"Grand Total (Incl.Tax)","Kokku (maksudeta)"
"Grand Total Excl. Tax","Kokku maksudeta"
"Grand Total Incl. Tax","Kokku maksudega"
"Inc. Tax","Maksuga"
"Incl. Tax","Koos maksuga"
"Including Tax","Maksuga"
"Including and Excluding Tax","Maksuga ja maksuta"
"Manage Tax Rates","Halda maksumäärasi"
"Manage Tax Rules","Halda maksureegleid"
"Name","Nimi"
"New Rule","Uus reegel"
"New Tax Rate","Uus maksumäär"
"No","Ei"
"None","Puudub"
"Orders, Invoices, Credit Memos Display Settings","Tellimuste, arvete, kreeditarvete vaate seaded"
"Price Display Settings","Hinna vaate seaded"
"Priority","Prioriteet"
"Product Tax Class","Toote maksuklass"
"Rate","Hinda"
"Rate Percent","Maksuprotsent"
"Reset","Tühista"
"Row Total","Rea kogusumma"
"Sales","Müük"
"Save Rate","Salvesta määr"
"Save Rule","Salvesta reegel"
"Save and Continue Edit","Salvesta ja jätka muutmist"
"Shipping & Handling (Excl.Tax)","Transport & Käitlemine (maksuta)"
"Shipping & Handling (Incl.Tax)","Transport & Käitlemine (maksuga)"
"Shipping (Excl. Tax)","Tarne (maksuga)"
"Shipping (Incl. Tax)","Tarne (maksuga)"
"Shipping Prices","Tarne hinnad"
"Shopping Cart Display Settings","Ostukorvi vaate seaded"
"Sort Order","Sorteerimise järjekord"
"State/Region","Maakond"
"Subtotal (Excl. Tax)","Vahesumma (maksuta)"
"Subtotal (Excl.Tax)","Vahesumma (maksuta)"
"Subtotal (Incl. Tax)","Vahesumma (maksuga)"
"Subtotal (Incl.Tax)","Vahesumma (maksuga)"
"Tax","Maks"
"Tax Calculation Based On","Maksukalkulatsiooni baas"
"Tax Calculation Method Based On","Maksukalkulatsiooni meetodi baas"
"Tax Class for Shipping","Transpordi maksuklass"
"Tax Classes","Maksuklassid"
"Tax Identifier","Maksu tunnus"
"Tax Rate","Maksumäär"
"Tax Rate Information","Maksumäära info"
"Tax Rule Information","Maksumäära info"
"Tax Rules","Maksureeglid"
"Tax Titles","Maksu pealkirjad"
"The tax rule has been deleted.","Reegel kustutatud."
"This rule no longer exists.","Seda reeglit pole enam."
"Total","Kokku"
"Unit Price","Ühiku hind"
"Yes","Jah"
"Zip/Post Code","Postiindeks"
"Zip/Post is Range","Postiindeks on vahemikus"
