"10 minutes","10 minutit"
"15 minutes","15 minutit"
"20 minutes","20 minutit"
"30 minutes","30 minutit"
"5 minutes","5 minutit"
"Daily","Iga päev"
"Hourly","Iga tund"
"Monthly","Iga kuu"
"Unable to delete the cron task.","Croni kande kustutamine ebaõnnestus."
"Weekly","Iga nädal"
