"Action","Toiming"
"Add","Lisa"
"Add to Cart","Lisa ostukorvi"
"Add to Wishlist","Lisa soovikorvi"
"Approved","Kinnitatud"
"Are you sure you want to do this?","Olete kinde, et soovite seda teha?"
"Are you sure?","Kindel?"
"Back","Tagasi"
"Block Information","Plokki teave"
"Change status","Muuda staatust"
"Country","Riik"
"Customer Since","Klient alates"
"Customers","Kliendid"
"Delete","Kustuta"
"Disabled","Keelatud"
"Email","E-post"
"First Name","Eesnimi"
"General Information","Üldinfo"
"Grid","Ruudustik"
"Last Name","Perekonnanimi"
"List","Nimekiri"
"Name","Nimi"
"Pending","Ootel"
"Price","Hind"
"Product Name","Toote nimi"
"Products","Tooted"
"Remove","Eemalda"
"SKU","Laokood"
"Save and Continue Edit","Salvesta ja jätka muutmist"
"Status","Staatus"
"Store View","Poevaade"
"Tags","Märksõnad"
"Update","Uuenda"
"ZIP/Post Code","Postiindeks"
"[STORE VIEW]","[POEVAADE]"
