"Action","Toiming"
"Add Sitemap","Lisa Sitemap"
"Always","Alati"
"Daily","Iga päev"
"Edit Sitemap","Muuda SiteMap'i"
"Enabled","Lubatud"
"Error Email Recipient","Veateavituse e-kirja saaja"
"Error Email Sender","Veateavituse e-kirja saatja"
"Error Email Template","Veateavituse e-kirja põhi"
"Frequency","Sagedus"
"Hourly","Iga tund"
"Monthly","Iga kuu"
"Never","Mitte kunagi"
"Priority","Prioriteet"
"Start Time","Algusaeg"
"Store View","Poevaade"
"Weekly","Iga nädal"
"Yearly","Iga aasta"
