"Base URL","BaasURL"
"Configuration","Seaded"
"Confirm Password","Kinnita salasõna"
"Continue","Jätka"
"Database","Andmebaas"
"Download","Lae alla"
"Email","E-post"
"Email Address","E-posti aadress"
"Enable Charts","Luba graafikud"
"Encryption Key","Krüpteerimisvõti"
"File System","Failisüsteem"
"First Name","Eesnimi"
"Host","Server"
"Last Name","Perekonnanimi"
"Locale","Keel"
"Password","Salasõna"
"Password Confirmation","Salasõna kinnitus"
"Personal Information","Isikuandmed"
"Report All Bugs","Teavita leitud vigadest"
"Required Fields","Kohustuslikud väljad"
"Secure Base URL","Turvaline baasURL"
"User Name","Kasutajatunnus"
"User Password","Salasõna"
"Username","Kasutajatunnus"
