"Catalog","Kataloog"
"Click for price","Vajuta et hinda näha"
"Coupons/Discounts","Kupongid/hinnasoodustused"
"Discount","Allahindlus"
"Enable RSS","Luba RSS"
"From:","Saatja:"
"Gift Message","Kinkesõnum"
"Grand Total","Kõik kokku"
"Low Stock Products","Madala laoseisuga tooted"
"Message:","Sõnum:"
"New Orders","Uued tellimused"
"New Products","Uued tooted"
"Order","Tellimus"
"RSS Feeds","RSS vood"
"Shipping &amp; Handling","Transport &amp; Käitlemine"
"Special Products","Erilised tooted"
"Subtotal","Vahesumma"
"Tax","Maks"
"To:","Saaja:"
"Wishlist","Soovinimekiri"
