"* Required Fields","* Kohustuslikud väljad"
"-- Select --","-- Vali --"
"Add New Option","Lisa uus valik"
"As Low as","Alates"
"As low as","Alates"
"Checkbox","Märkeruut"
"Choose a selection...","Tehke valik..."
"Click for price","Vajuta et hinda näha"
"Close","Sulge"
"Default","Vaikimisi"
"Default Title","Vaikimisi pealkiri"
"Drop-down","Rippmenüü"
"Dynamic","Dünaamiline"
"Excl. Tax","Ilma maksuta"
"Fixed","Fikseeritud"
"From","Kellelt"
"From:","Saatja:"
"Gift Message","Kinkesõnum"
"Incl. Tax","Koos maksuga"
"Input Type","Sisendi tüüp"
"Is Required","On nõutud"
"Message:","Sõnum:"
"Multiple Select","Multivalik"
"N/A","Pole Saadaval"
"None","Puudub"
"Percent","Protsent"
"Percent Discount","Protsenti allahindlust"
"Position","Asukoht"
"Price Range","Hinnavahemik"
"Price Type","Hinnatüüp"
"Radio Buttons","Raadio nupud"
"SKU","Laokood"
"Separately","Eraldi"
"Shipment","Saadetis"
"Store View Title","Poevaate nimi"
"To","Kellele"
"To:","Saaja:"
"Together","Koos"
"Use Default Value","Kasuta vaikeväärtust"
