"Action","Toiming"
"Are you sure you want to delete the selected backup(s)?","Olete kindel et soovite kustutada valitud varukoopiad?"
"Backups","Varukoopiad"
"Create Backup","Loo varukoopia"
"Database","Andmebaas"
"Database Backup","Varukoopia andmebaasist"
"Database and Media","Andmebaas ja meedia"
"Database and Media Backup","Varukoopia andmebaasist ja meediast"
"Download","Lae alla"
"Enable Scheduled Backup","Luba planeeritud varukoopia"
"Frequency","Sagedus"
"Maintenance Mode","Hooldusrežiim"
"Name","Nimi"
"Rollback","Taastamine"
"Start Time","Algusaeg"
"System","Süsteem"
"System (excluding Media)","Süsteem ilma meediata"
"System Backup","Varukoopia süsteemist"
"Time","Aeg"
"Type","Tüüp"
