"-- Please Select --","-- Vali --"
"Add Secret Key to URLs","Lisa linkidele salajane võti"
"Add Store Code to Urls","Lisa poe kood Url-idele"
"Admin Base URL","Administraatori baas URL"
"Admin User Emails","Admini kasutaja e-postid"
"Advanced","Täpsemad seaded"
"Allow Countries","Lubatud riigid"
"Allow Symlinks","Luba symlinke"
"Anchor Text for Next","Ankur tekst järgmisele"
"Anchor Text for Previous","Ankur tekst eelmisele"
"Are you sure?","Kindel?"
"Auto-redirect to Base URL","Suuna automaatselt baasURL-ile"
"Back","Tagasi"
"Backup Options","Varundussuvandid"
"Base Link URL","Baasi lingi URL"
"Base URL","BaasURL"
"CSS Settings","CSS seaded"
"Cache Storage Management","Vahemäluvaramu haldus"
"Cancel","Tühista"
"Code","Kood"
"Cookie Domain","Küpsise domeen"
"Cookie Lifetime","Küpsise eluiga"
"Country","Riik"
"Create Store","Lisa pood"
"Create Store View","Lisa poevaade"
"Create Website","Loo veebisait"
"Custom Admin Path","Kohandatud administraatori aadress"
"Custom Admin URL","Kasutage kohtandatud administraatori URLi"
"Custom Design","Kujunduse kohandus"
"Custom Email 1","Kohandatud e-post 1"
"Custom Email 2","Kohandatud e-post 2"
"Custom Variables","Kohandatud muutujad"
"Customer Support","Klienditugi"
"Dashboard","Töölaud"
"Date From","Alates kuupäevast"
"Date To","Kuni kuupäevani"
"Debug","Silumine"
"Default","Vaikimisi"
"Default Country","Vaikeriik"
"Default No-route URL","Vaikimisi teekonnata URL"
"Default Pages","Vaikimisi lehed"
"Default Store","Vaikimisi pood"
"Default Store View","Vaikimisi poevaade"
"Default Title","Vaikimisi pealkiri"
"Default Web URL","Vaikimisi veebi URL"
"Delete","Kustuta"
"Delete Store","Kustuta pood"
"Delete Store View","Kustuta poevaade"
"Design","Kujundus"
"Design Change","Kujunduse muudatus"
"Developer","Arendaja"
"Developer Client Restrictions","Ligipääsu piirang arendajatele"
"Disable Email Communications","Blokeerida e-posti side"
"Disable Modules Output","Keela mooduli väljundid"
"Display Demo Store Notice","Kuva testpoe teadet"
"Duplicate Of Template Name","Malli nime duplikaat"
"Edit Design Change","Muuda kujunduse muudatust"
"Edit Store","Muuda poodi"
"Edit Store View","Muuda poevaadet"
"Enable Charts","Luba graafikud"
"Enabled","Lubatud"
"Enabled for Admin","Lubatud haldusliideses"
"European Union Countries","Euroopa Liidu riigid"
"Favicon Icon","Faviconi pilt"
"File system","Failisüsteem"
"First Day of Week","Nädala esimene päev"
"Flush Cache Storage","Tühjenda kogu vahemäluvaramu"
"Flush Magento Cache","Tühjenda Magento vahemälu"
"Footer","Jalus"
"Forgot Password Email Template","Salasõna unustamise e-posti mall"
"General","Üldine"
"General Contact","Üldkontakt"
"General Settings","Üldseaded"
"Global","Globaalne"
"HTML Head","HTML päis"
"Header","Päis"
"Host","Server"
"How many links to display at once.","Mitu linke korraga kuvatakse."
"Invalid date","Sobimatu kuupäev"
"JavaScript Settings","JavaScripti seaded"
"Layout","Paigutus"
"Locale","Keel"
"Locale Options","Lokaliseeringuseaded"
"Login is Case Sensitive","Kasutajanimi on tõstutundlik"
"Logo Image","Logo pilt"
"Mail Sending Settings","E-posti saatmise seaded"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Veendu et baas URL lõppeb '/' (kaldkriips), n.t http://sinudomeen/magento/"
"Manage Stores","Halda poode"
"Media Storage","Meedia hoidla"
"Merge CSS Files","Liida CSS failid"
"Merge JavaScript Files","Liida JavaScripti failid"
"Miscellaneous HTML","Täiendav HTML"
"Name","Nimi"
"New Store","Uus pood"
"New Store View","Uus poevaade"
"No","Ei"
"PHP SOAP extension is required.","Puudub PHP SOAP laiendus."
"Package","Pakk"
"Pagination","Leheküljejaotus"
"Pagination Frame","Lehekülgjaotuse raam"
"Pagination Frame Skip","Lehekülgjaotuse raami vahe"
"Please enter a number 1 or greater in this field.","Sisestage sellele väljale 1 või suurem arv."
"Please enter a valid credit card number.","Sisesta korrektne krediitkaardi number."
"Please enter a valid credit card verification number.","Sisesta krediitkaardi kontrollkood."
"Please enter a valid date.","Sisesta kuupäev."
"Please enter a valid number in this field.","Palun sisestage korrektne number."
"Please enter a valid zip code.","Sisesta korrektne postiindeks."
"Please make sure your passwords match.","Kontrollige, et sisestatud salasõnad ühtiks."
"Recovery Link Expiration Period (hours)","Taastelingi aegumise periood (tundides)"
"Root Category","Juurkategooria"
"Sales Representative","Müügiesindaja"
"Save","Salvesta"
"Save Store","Salvesta pood"
"Save Store View","Salvesta poevaade"
"Security","Turvalisus"
"Select Date","Vali kuupäev"
"Sender Email","Saatja e-posti aadress"
"Sender Name","Saatja nimi"
"Services","Teenused"
"Session Validation Settings","Sessiooni valideerimise seaded"
"Set Return-Path","Määra Tagastustee"
"Set as Default","Määra vaikeseadeks"
"Sort Order","Sorteerimise järjekord"
"Startup Page","Avaleht"
"Status","Staatus"
"Store","Pood"
"Store Email Addresses","Poe e-posti aadressid"
"Store Hours of Operation","Millal on pood avatud"
"Store Information","Poeteave"
"Store Name","Poe nimi"
"Store View","Poevaade"
"Store View Information","Poevaate informatsioon"
"Store view doesn't exist","Poevaadet ei ole olemas"
"System","Süsteem"
"Template Settings","Malli seaded"
"Template Variables","Malli muutujad"
"The store does not exist","Poodi ei leitud"
"The website does not exist.","Veebisaiti ei leitud."
"This is a required field.","See on kohustuslik väli."
"This store cannot be deleted.","Seda poodi ei õnnestu kustutada."
"This store view cannot be deleted.","Seda poevaadet ei õnnestu kustutada."
"This website cannot be deleted.","Veebisaiti ei saa kustutada."
"Timezone","Ajatsoon"
"Translate Inline","Dünaamiline tõlkimine"
"Translations","Tõlked"
"Url Options","Url-i seaded"
"Use Custom Admin Path","Kasutage kohtandatud administraatori URLi"
"Use Custom Admin URL","Kasutage kohtandatud administraatori URLi"
"Use HTTP Only","Kasuta vaid HTTP-d"
"None","Puudub"
"Use Secure URLs in Admin","Kasuta turvalisi URL-e haldusliideses"
"Use Web Server Rewrites","Kasuta veebiserveri suunamisi"
"VAT Number","KMKR number"
"Validate HTTP_USER_AGENT","Kinnitada HTTP_USER_AGENT"
"Validate HTTP_VIA","Valideeri HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Valideeri HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Kinnitada REMOTE_ADDR"
"Website","Koduleht"
"Weekend Days","Puhkepäevad"
"Welcome Text","Tervitussõnum"
"Yes","Jah"
