"Add","Lisa"
"Add New Row","Lisa uus rida"
"Availability:","Saadavus:"
"Back","Tagasi"
"Canceled","Tühistatud"
"Date","Kuupäev"
"Delete","Kustuta"
"Disable Guest Checkout if Cart Contains Downloadable Items","Keela võimalus vormistada ost külalisena kui korvis on allalaetavaid tooteid"
"Downloadable Information","Allalaaditav teave"
"Edit","Muuda"
"Edit item parameters","Muuda kauba parameetreid"
"Excl. Tax","Ilma maksuta"
"File","Fail"
"From:","Saatja:"
"Gift Message","Kinkesõnum"
"In stock","Laos"
"Incl. Tax","Koos maksuga"
"Invoiced","Arve esitatud"
"List","Nimekiri"
"Message:","Sõnum:"
"My Downloadable Products","Minu digitaalsed tooted"
"Open Links in New Window","Ava viited uues aknas"
"Order #","Tellimus #"
"Ordered","Tellitud"
"Out of stock","Laost otsas"
"Pending","Ootel"
"Price","Hind"
"Qty","Kogus"
"Refunded","Tagastatud"
"Remove","Eemalda"
"Remove Item","Eemalda toode"
"SKU","Laokood"
"Sample","Näidis"
"See price before order confirmation.","Hindade näitamine enne tellimuse kinnitamist."
"Shareable","Jagatav"
"Shipped","Saadetud"
"Sort Order","Sorteerimise järjekord"
"Start Download","Allalaadimise alustamine"
"Status","Staatus"
"Subtotal","Vahesumma"
"The link has expired.","Link on aegunud."
"Title","Pealkiri"
"To:","Saaja:"
"Unlimited","Piiramatu"
"Update","Uuenda"
"Use Default Value","Kasuta vaikeväärtust"
"View Order","Vaata tellimust"
"What's this?","Mis see on?"
"sample","näidis"
