"Add Option","Lisa valik"
"Attribute Code","Atribuudikood"
"Attribute Label","Atribuudi silt"
"Attribute Properties","Atribuudi sätted"
"Attribute object is undefined","Atribuut on määratlemata"
"Catalog Input Type for Store Owner","Kataloogi sisendi tüüp kaupluse omaniku jaoks"
"Date","Kuupäev"
"Default Value","Vaikeväärtus"
"Delete","Kustuta"
"Dropdown","Rippvalik"
"Email","E-post"
"Input Validation for Store Owner","Sisendi kontroll poe omanikule"
"Integer Number","Täisarv"
"Invalid date","Sobimatu kuupäev"
"Letters","Tähed"
"Letters (a-z, A-Z) or Numbers (0-9)","Tähed (a-z, A-Z) või numbrid (0-9)"
"Multiple Select","Multivalik"
"No","Ei"
"None","Puudub"
"Required","Nõutud"
"System","Süsteem"
"Text Area","Tekstiala"
"Text Field","Tekstiväli"
"URL","Veebiaadress"
"Unique Value","Unikaalne väärtus"
"Unique Value (not shared with other products)","Unikaalne väärtus (ei jagata teiste toodetega)"
"Values Required","Kohustuslikud väärtused"
"Yes","Jah"
"Yes/No","Jah/ei"
