"2 Day","2 päeva"
"2 Day Freight","2 päeva tarne"
"3 Day Freight","3 päeva tarne"
"Account Number","Kontonumber"
"Allowed Methods","Lubatud meetodid"
"Centimeters","Sentimeetrit"
"Configuration","Seaded"
"Debug","Silumine"
"Depth","Sügavus"
"Europe First Priority","Euroopa esimene prioriteet"
"First-Class Mail Large Envelope","Esimese klassi posti suur ümbrik"
"First-Class Mail Letter","Esimese klassi posti kiri"
"Gateway URL","Värava URL"
"Gift","Kink"
"Height","Kõrgus"
"Home Delivery","Transport koju"
"Key","Võti"
"Kilograms","Kilogrammi"
"Length","Pikkus"
"Mode","Režiim"
"No","Ei"
"None","Puudub"
"Not Required","Ei ole nõutud"
"Order","Tellimus"
"Package","Pakk"
"Password","Salasõna"
"Pounds","Naela"
"Required","Nõutud"
"Return","Tagasi"
"Sample","Näidis"
"Sender","Saatja"
"Show Method if Not Applicable","Näita meetodit kui seda ei saa kasutada"
"Size","Suurus"
"Sort Order","Sorteerimise järjekord"
"Subtotal","Vahesumma"
"Title","Pealkiri"
"UPS Next Day Air","UPS järgmise päeva lennu"
"UPS Second Day Air","UPS teise päeva Lennupost"
"UPS Worldwide Expedited","UPS kogu maailmas ekspedeeritud"
"User ID","Kasutaja ID"
"Weight Unit","Kaaluühik"
"Width","Laius"
"Yes","Jah"
