"Accepted Currency","Lubatud valuutad"
"Authorize Only","Lubada ainult"
"Authorize and Capture","Lubada ja salvesta"
"Cancel","Tühista"
"Credit Card Types","Krediitkaardi tüübid"
"Credit Card Verification","Krediitkaardi andmete kinnitus"
"Debug","Silumine"
"Email Customer","Kliendi email"
"Enabled","Lubatud"
"Invalid amount for capture.","Ebakorrektne summa hõiveks."
"Invalid amount for refund.","Tagastamiseks ebakorrektne summa."
"Maximum Order Total","Maksimaalne tellimuse summa"
"Merchant's Email","Kaupmehe e-mail"
"Minimum Order Total","Minimaalne tellimuse summa"
"New Order Status","Uue tellimuse staatus"
"Payment Action","Makse tegevus"
"Payment capturing error.","Viga makse hõivamises."
"Payment from Applicable Countries","Maksed sobivatest maadest"
"Payment from Specific Countries","Maksed konkreetsetest maadest"
"Payment refunding error.","Makse tagastamise viga."
"Payment voiding error.","Makse tühistamise viga."
"Sort Order","Sorteerimise järjekord"
"Test Mode","Testrežiim"
"Title","Pealkiri"
"Transaction Key","Tehingu võti"
"authorize","luba"
"authorize and capture","lubada ja salvesta"
"capture","hõiva"
"failed","nurjus"
"refund","tagastus"
"successful","edukas"
"void","tühine"
