"ALL","KÕIK"
"ANY","MÕNI"
"Add","Lisa"
"Apply","Rakenda"
"Conditions Combination","Tingimuste kombinatsioon"
"FALSE","VALE"
"Perform following actions","Teosta järgmised toimingud"
"Remove","Eemalda"
"TRUE","ÕIGE"
"greater than","suurem kui"
"is","on"
"is not","pole"
"is not one of","ei kuulu"
"is one of","kuulub"
"less than","väiksem kui"
