"Actions","Toimingud"
"Active","Aktiivne"
"Add New Rule","Lisa uus reegel"
"Apply","Rakenda"
"Apply Rules","Rakenda reeglid"
"Attribute Set","Atribuudikogum"
"Catalog","Kataloog"
"Catalog Price Rule","Kataloogi hinnareegel"
"Catalog Price Rules","Kataloogi hinnareeglid"
"Category","Kategooria"
"Conditions","Tingimused"
"Conditions Combination","Tingimuste kombinatsioon"
"Customer Groups","Kliendigrupid"
"Date From","Alates kuupäevast"
"Date To","Kuni kuupäevani"
"Description","Kirjeldus"
"Discount Amount","Allahindluse määr"
"Edit Rule","Muuda reeglit"
"Expiration Date","Aegumiskuupäev"
"General Information","Üldinfo"
"Inactive","Mitteaktiivne"
"New Rule","Uus reegel"
"No","Ei"
"Priority","Prioriteet"
"Product Attribute","Tooteatribuut"
"Promotions","Turundus"
"Rule Information","Reegliteave"
"Rule Name","Reegli nimi"
"Save and Apply","Salvesta ja rakenda"
"Save and Continue Edit","Salvesta ja jätka muutmist"
"Start Date","Alguskuupäev"
"Status","Staatus"
"This rule no longer exists.","Seda reeglit pole enam."
"Type","Tüüp"
"Website","Koduleht"
"Websites","Veebisaidid"
"Yes","Jah"
