"Add","Lisa"
"Add New Role","Lisa Uus Roll"
"Address Type","Aadressi tüüp"
"Allow","Luba"
"Assigned","Määratud"
"Attribute Set","Atribuudikogum"
"Attributes","Atribuudid"
"Back","Tagasi"
"Backorders","Järeltellimused"
"Base Currency","Baasvaluuta"
"Catalog","Kataloog"
"Category ID","Kategooria ID"
"City","Linn"
"Company","Ettevõte"
"Country","Riik"
"Coupon Code","Sooduskood"
"Create","Loo"
"Create Permanent Redirect for old URL","Luua permanentne ümbersuunamine vana URL'i jaoks"
"Customer","Klient"
"Customer Address","Kliendi aadress"
"Customer First Name","Kliendi eesnimi"
"Customer ID","Kliendi ID"
"Customer Last Name","Kliendi perekonnanimi"
"Delete","Kustuta"
"Deny","Keela"
"Discount","Allahindlus"
"Discount Amount","Allahindluse määr"
"Edit","Muuda"
"Edit Role","Muuda rolli"
"Email","E-post"
"Enable Qty Increments","Luba kogusesamme"
"Exclude","Välista"
"File Name","Faili nimi"
"First Name","Eesnimi"
"Gift Message","Kinkesõnum"
"Grand Total","Kõik kokku"
"Group","Grupp"
"Guest","Külaline"
"Last Name","Perekonnanimi"
"Manage Stock","Halda laoseisu"
"Maximum Qty Allowed in Shopping Cart","Suurim ostukorvis lubatud kogus"
"Minimum Qty Allowed in Shopping Cart","Väikseim ostukorvis lubatud kogus"
"New Role","Uus roll"
"Notify for Quantity Below","Teavita alla kogust"
"Order","Tellimus"
"Order Comments","Tellimuse kommentaarid"
"Order Date","Tellimuse kuupäev"
"Order ID","Tellimuse ID"
"Order Status","Tellimuse staatus"
"Orders","Tellimused"
"Payment Method","Makseviis"
"Phone Number","Telefon"
"Placed from IP","Tehtud IP aadresilt"
"Position","Asukoht"
"Price","Hind"
"Product","Toode"
"Product ID","Toote ID"
"Qty","Kogus"
"Qty Increments","Kogusesamm"
"Qty Uses Decimals","Kogus võimaldab komakohti"
"Role Info","Rolliteave"
"Role Information","Rolliteave"
"Role Name","Rolli nimi"
"Role Users","Rolli kasutajad"
"Roles","Rollid"
"SKU","Laokood"
"Sales","Müük"
"Save","Salvesta"
"Shipping Amount","Tarne summa"
"Shipping Method","Tarneviis"
"Stock Availability","Saadavus laost"
"Stock Status","Laoseis"
"Store Name","Poe nimi"
"Subtotal","Vahesumma"
"System","Süsteem"
"Tax Amount","Maksusumma"
"Tax Percent","Maksuprotsent"
"Tax Rate","Maksumäär"
"Type","Tüüp"
"URL","Veebiaadress"
"Update","Uuenda"
"ZIP/Postal Code","Postiindeks"
