"* Required Fields","* Kohustuslikud väljad"
"Add All to Cart","Lisa kõik ostukorvi"
"Add to Cart","Lisa ostukorvi"
"Add to Compare","Lisa võrdlusesse"
"Add to Wishlist","Lisa soovikorvi"
"Back","Tagasi"
"Click for price","Vajuta et hinda näha"
"Comment","Kommentaar"
"Comment:","Kommentaar:"
"Date Added","Lisamiskuupäev"
"Edit","Muuda"
"Email Sender","E-posti saatja"
"Email Template","E-kirja põhi"
"Email addresses, separated by commas","E-posti aadressid, komaga eraldatult"
"Enabled","Lubatud"
"General Options","Üldvalikud"
"In stock","Laos"
"Last Added Items","Viimati lisatud tooted"
"Message","Sõnum"
"Options Details","Valikute üksikasjad"
"Out of stock","Laost otsas"
"Price","Hind"
"Product","Toode"
"Qty","Kogus"
"RSS Feed","RSS voog"
"Remove Item","Eemalda toode"
"Remove This Item","Eemalda toode"
"Remove item","Eemalda toode"
"SKU","Laokood"
"Share Options","Jagamise valikud"
"Sharing Information","Jagamise info"
"View Details","Vaata lähemalt"
"View Product","Vaata toodet"
"What's this?","Mis see on?"
"Wishlist","Soovinimekiri"
