"City","Linn"
"Close Window","Sulge aken"
"Condition","Tingimus"
"Country","Riik"
"Date","Kuupäev"
"Description","Kirjeldus"
"Enabled","Lubatud"
"Export","Eksport"
"Fixed","Fikseeritud"
"Free Shipping","Tasuta transport"
"Local Time","Kohalik aeg"
"Location","Asukoht"
"Minimum Order Amount","Minimaalne Tellimuse Kogus"
"N/A","Pole Saadaval"
"None","Puudub"
"Percent","Protsent"
"Price","Hind"
"Region/State","Piirkond/maakond"
"Shipment #","Saadetis #"
"Shipping Methods","Tarneviisid"
"Show Method if Not Applicable","Näita meetodit kui seda ei saa kasutada"
"Sort Order","Sorteerimise järjekord"
"Status:","Staatus:"
"Street Address","Tänav, maja"
"Street Address Line 2","Aadress rida 2"
"Title","Pealkiri"
"Type","Tüüp"
"ZIP/Postal Code","Postiindeks"
