"Actions","Action"
"Active","Actif"
"Add New Rule","Ajouter une nouvelle règle"
"Apply","Appliquer"
"Apply Rules","Appliquer les règles"
"Attribute Set","Jeu d'attributs"
"By Fixed Amount","Remise d'un montant fixe"
"Catalog","Catalogue"
"Catalog Price Rule","Règle de prix catalogue"
"Catalog Price Rules","Règles de prix catalogue"
"Category","Catégorie"
"Conditions (leave blank for all products)","Conditions (laisser vide pour appliquer à tous les produits)"
"Conditions Combination","Combinaison de conditions"
"Customer Groups","Groupes clients"
"Date Expire","Date d'expiration"
"Date From","Entre le"
"Date Start","Date de démarrage"
"Date To","et le"
"Discount Amount","Remise"
"Edit Rule","Éditer la règle"
"Edit Rule '%s'","Éditer la règle '%s'"
"Expiration Date","Date d'expiration"
"From Date","Date de début"
"General Information","Informations générales"
"ID","Identifiant"
"Inactive","Inactif"
"New Rule","Nouvelle règle"
"No","Non"
"Priority","Priorité"
"Product Attribute","Attribut du produit"
"Rule Information","Informations règle"
"Rule Name","Nom de la règle"
"Save and Apply","Sauvegarder et appliquer"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Start Date","Date de début"
"Status","Statut"
"This rule no longer exists.","Cette règle n'existe plus."
"To Date","Date de fin"
"To Fixed Amount","Nouveau prix en montant fixe"
"Type","Type "
"Update product's %s %s: %s","Mettre à jour le %s du produit %s : %s"
"Website","Site web""%s and greater"
"Websites","Sites web"
"Wrong rule specified.","Mauvaise règle spécifiée."
"Yes","Oui"
