"%s Item(s)","%s article(s)"
"-- Please Select --","-- Faites un choix --"
"1 column","1 colonne"
"2 columns with left bar","2 colonnes avec colonne de gauche"
"2 columns with right bar","2 colonnes avec colonne de droite"
"3 columns","3 colonnes"
"About the calendar","À propos du calendrier"
"Account","Compte"
"All Pages","Toutes les pages"
"Allow","Autoriser"
"Close","Fermer"
"Close Window","Fermer la fenêtre"
"Default welcome msg!","Message d'accueil par défaut"
"Empty","Vide"
"Go Today","Aller à aujourd'hui"
"Help Us to Keep Magento Healthy","Aidez-nous à maintenir OpenMage"
"Interface Language","Langage de l'interface"
"Items %s to %s of %s total","Total des articles de <strong>%s</strong> à <strong>%s</strong> sur <strong>%s</strong>"
"JavaScript seems to be disabled in your browser.","Javascript est désactivé dans votre navigateur."
"Left Column","Colonne de gauche"
"Next","Suivant"
"Page:","Page :"
"Previous","Précédent"
"Report All Bugs","Signaler un dysfonctionnement"
"Right Column","Colonne de droite"
"Search","Chercher"
"Select Store","Choisir un magasin"
"Show","Afficher"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Ceci est une boutique de démonstration. Aucune commande passée sur cette boutique ne sera honorée."
"View All","Tout voir"
"Welcome, %s!","Bienvenue, %s !"
"Your Language","Votre langue"
"Your Language:","Votre langue :"
"per page","par page"
