"%d Review(s)","%d Commentaire(s)"
"%s Review(s)","%s Commentaire(s)"
"(Posted on %s)","(Posté le %s)"
"1 star","1 étoile"
"2 stars","2 étoiles"
"3 stars","3 étoiles"
"4 stars","4 étoiles"
"5 stars","5 étoiles"
"Add New Review","Ajouter nouveau commentaire"
"Add Your Review","Ajoutez votre commentaire"
"Administrator","Administrateur"
"All Reviews","Tous les commentaires"
"Allow Guests to Write Reviews","Autoriser les invités à écrire des commentaires"
"Approved","Approuvé"
"Are you sure you want to do this?","Êtes-vous sûr de vouloir faire cela ?"
"Are you sure?","Êtes-vous sûr(e) ?"
"Average Customer Rating","Note moyenne"
"Average Customer Rating:","Notation moyenne des clients :"
"Back","Retour"
"Back to Main Product Info","Retour à la fiche du produit"
"Back to My Reviews","Retour à mes commentaires"
"Back to Product Reviews","Retour aux commentaires"
"Be the first to review this product","Soyez le premier à commenter ce produit"
"Created On","Créé le"
"Customer","Client"
"Customer Reviews","Commentaires des clients"
"Customers Reviews","Avis des clients"
"Delete","Supprimer"
"Delete Review","Supprimer le commentaire"
"Detailed Rating","Notation détaillée"
"Edit Review '%s'","Éditer le commentaire '%s'"
"Guest","Invité"
"How do you rate this product?","Quelle évaluation donneriez-vous à ce produit ?"
"ID","Identifiant"
"Manage Ratings","Gérer les notations"
"My Product Reviews","Mes commentaires"
"My Recent Reviews","Mes derniers commentaires :"
"Name","Nom"
"New Review","Nouveau commentaire"
"Nickname","Pseudo"
"Not Approved","Non approuvé"
"Pending","En attente"
"Pending Reviews","Commentaires en attente"
"Please select a product","Veuillez sélectionner un produit"
"Please select one of each of the ratings above","Veuillez sélectionner une évaluation de chaque parmi les suivantes"
"Posted By","Posté par"
"Price","Prix"
"Product","Produit"
"Product Name","Nom de produit"
"Product Rating","Notation du produit"
"Product Rating:","Notation du produit :"
"Product Review (submitted on %s):","<strong>Commentaire</strong> (posté le %s):"
"Product Reviews","Commentaires"
"Product SKU","SKU produit"
"Products Reviews","Avis Produits"
"Qty","Qté"
"Rating:","Evaluation:"
"Review","Commentaire"
"Review Details","Détail du commentaire"
"Review by %s","par <em>%s</em>"
"Reviews","Commentaires"
"SKU","REF"
"Save Review","Sauvegarder le commentaire"
"Status","Statut"
"Submit Review","Poster le commentaire"
"Summary Rating","Aperçu des notations"
"Summary of Review","Résumé du commentaire"
"Summary of Your Review","Résumé de votre commentaire"
"Title","Titre"
"Type","Type "
"Update Status","Mettre à jour le statut"
"View All Reviews","Voir tous les commentaires"
"View Details","Voir les détails"
"Visible In","Visible dans"
"Websites","Sites web"
"Write Your Own Review","Rédigez votre propre commentaire"
"You have submitted no reviews.","Vous n'avez posté aucun commentaire"
"You're reviewing:","Vous commentez :"
"Your Rating:","Votre évaluation:"
"Your Review (submitted on %s):","<strong>Votre commentaire</strong> (posté le %s):"
