"Add","Ajouter"
"Allow Gift Messages for Order Items","Autoriser les messages cadeau pour chaque article"
"Allow Gift Messages on Order Level","Autoriser les messages cadeau au niveau de la commande"
"Are you sure?","Êtes-vous sûr(e) ?"
"Cancel","Annuler"
"Do you have any gift items in your order?","Y a-t-il des articles cadeaux dans votre commande ?"
"Edit","Éditer"
"From","Depuis"
"Gift Message","Message du cadeau"
"Gift Options","Options cadeau"
"Gift Options for Individual Items","Options cadeau pour les articles individuels"
"Item %d of %d","Article %d sur %d"
"No","Non"
"Save Gift Message","Sauvegarder le message cadeau"
"To","À"
"Unknown entity type","Type d'entité inconnu"
"Use config","Utiliser la config"
"Yes","Oui"
