"ALL","TOUTES"
"ANY","UNE OU PLUSIEURS DE"
"Add","Ajouter"
"Apply","Appliquer"
"Conditions Combination","Combinaison de conditions"
"FALSE","FAUSSES"
"If %s of these conditions are %s:","Si %s ces conditions sont %s :"
"Open Chooser","Ouvrir le sélecteur"
"Perform following actions","Effectuer les actions suivantes"
"Please choose a condition to add...","Choisissez une condition à ajouter..."
"Please choose an action to add...","Choisissez une action à ajouter..."
"Remove","Supprimer"
"TRUE","VRAIES"
"by","sur"
"contains","contient"
"does not contain","ne contient pas"
"does not contains","ne contient pas"
"equals or greater than","est supérieur(e) ou égal(e) à"
"equals or less than","est inférieur(e) ou égal(e) à"
"for","pour"
"for greater than","pour supérieur à"
"for or greater than","égal ou supérieur à"
"found","trouvé"
"from","de"
"greater than","est supérieur(e) à"
"is","est égal(e) à"
"is not","est différent(e) de"
"is not one of","ne fait pas partie de"
"is one of","fait partie de"
"less than","est inférieur(e) à"
"not found","non trouvé"
"not from","pas dans"
"to","à"
"was","était"
"was not","n'était pas"
