"Actions","Action"
"Are you sure?","Êtes-vous sûr(e) ?"
"Date Added","Date d'ajout"
"Last Update","Dernière mise à jour"
"Mark as Read","Marquer comme lu"
"Messages Inbox","Messages reçus"
"Please select messages.","Veuillez sélectionner des messages."
"Read Details","Lire les détails"
"Remove","Supprimer"
"Severity","Importance"
"Show List","Afficher la liste"
"Show Toolbar","Afficher la barre d'outils"
"The message has been removed.","Le message a bien été supprimé."
"Update Frequency","Fréquence de mise à jour"
"Use HTTPS to Get Feed","Utiliser HTTPS pour récupérer le flux"
"Wrong message type","Mauvais type de message."
"critical","critique"
"major","majeur"
"minor","mineur"
"notice","avertissement"
