"Add","Ajouter"
"Add New Role","Ajouter un nouveau rôle"
"Address Type","Type d'adresse"
"Admin","Administration"
"Allow","Autoriser"
"Assigned","Affecté"
"Attribute Set","Jeu d'attributs"
"Attributes","Attributs"
"Automatically Return Credit Memo Item to Stock","Remettre automatiquement en stock un article faisant l'objet d'un avoir"
"Back","Retour"
"Backorders","Commande en rupture de stock"
"Base Currency","Devise de base"
"Catalog","Catalogue"
"Category ID","ID de catégorie"
"City","Ville"
"Company","Société"
"Country","Pays"
"Coupon Code","Code du bon de réduction"
"Create","Créer"
"Create Permanent Redirect for old URL","Créer des redirections permanentes pour les anciennes URLs."
"Customer","Client"
"Customer Address","Adresse du client"
"Customer First Name","Prénom du client"
"Customer ID","ID de client"
"Customer Last Name","Nom de famille du client"
"Delete","Supprimer"
"Deny","Refuser"
"Discount","Remise"
"Discount Amount","Remise"
"Edit","Éditer"
"Edit Role","Modifier le rôle"
"Email","Courriel"
"Enable Qty Increments","Activer les incréments de quantités"
"Exclude","Exclure"
"File Name","Nom du fichier"
"First Name","Prénom"
"Gift Message","Message du cadeau"
"Grand Total","Montant global"
"Grand Total to Be Charged","Total à facturer"
"Group","Groupe"
"Guest","Invité"
"ID","Identifiant"
"Label","Libellé"
"Last Logged In","Dernière connexion"
"Last Name","Nom"
"Manage Stock","Gérer les stocks"
"Maximum Qty Allowed in Shopping Cart","Quantité maxi autorisée dans le panier"
"Minimum Qty Allowed in Shopping Cart","Quantité mini autorisée dans le panier"
"New Role","Nouveau rôle"
"Notify for Quantity Below","Notifier quand la quantité passe en dessous de"
"Order","Commande"
"Order Comments","Commentaires de commande"
"Order Date","Date de commande"
"Order ID","ID Commande"
"Order Status","Statut"
"Orders","Commandes"
"Original Price","Prix d'origine"
"Payment Method","Mode de paiement"
"Phone Number","Numéro de téléphone"
"Placed from IP","Adresse IP"
"Price","Prix"
"Product","Produit"
"Product ID","ID de produit"
"Product Type","Type du produit"
"Qty","Qté"
"Qty Increments","Incréments de quantités"
"Qty Uses Decimals","La quantité utilise des décimales"
"Role Info","Infos du rôle"
"Role Information","Informations du rôle"
"Role Name","Nom du rôle"
"Role Users","Utilisateurs ayant ce rôle"
"Roles","Rôles"
"SKU","REF"
"Sales","Ventes"
"Save","Sauvegarder"
"Shipping Amount","Montant de la livraison"
"Shipping Method","Mode de livraison"
"State","État"
"Stock Availability","Disponibilité"
"Stock Status","État du stock"
"Store Name","Nom du magasin"
"Street","Rue"
"Subtotal","Sous-total"
"System","Système"
"Tax Amount","Montant des taxes"
"Tax Percent","Taux de taxe"
"Tax Rate","Taux de taxe"
"Total Due","Total dû"
"Total Paid","Total payé"
"Total Refunded","Total remboursé"
"Type","Type "
"Update","Mettre à jour"
"ZIP/Postal Code","Code postal"
