"Action","कार्य"
"Delete","हटाएँ"
"Description","विवरण"
"Disable","अक्षम"
"Enable","सक्षम"
"General","सामान्य"
"Never","कभी नहीँ"
"No","नहीं"
"Processing","प्रसंस्करण"
"Refresh","रीफ्रेश"
"Status","स्थिति"
"System","सिस्‍टम"
"Yes","हाँ"
