"Back","पीछे	"
"Email Address","ईमेल पता"
"Email Templates","ईमेल टेम्प्लेट"
"Email to a Friend","दोस्त को ईमेल करो"
"Email:","ईमेल:"
"Enabled","सक्षम"
"Max Products Sent in 1 Hour","1 घंटे में भेजे गए अधिकतम उत्पाद"
"Message:","संदेश:"
"Name","नाम"
"Send Email","ईमेल भेजें"
