"Configuration","विन्यास"
"Debug","डीबग"
"Depth","गहराई"
"Documents","दस्तावेज़"
"Height","ऊँचाई"
"Key","कुंजी"
"No","नहीं"
"None","कोई नहीं"
"Order","ऑर्डर"
"Others","अन्य"
"Password","पासवर्ड"
"Required","आवश्यक"
"Return","वापसी"
"Sender","प्रेषक"
"Sort Order","सॉर्ट क्रम"
"Subtotal","उप-योग"
"Title","शीर्षक"
"Width","चौड़ाई"
"Yes","हाँ"
