"Add Recipient","Tambah Penerima"
"Max Recipients","Penerima Maxsimum"
"Maximum %d email addresses allowed.","Maximum %d alamat emel dibenarkan."
"Recipient:","Penerima:"
"Remove Email","Mengeluarkan Emel"
"Send product to a friend","Hantar produk kepada kawan"
