"Action","اقدام"
"Add Sitemap","افزودن نقشه سایت"
"Always","هميشه"
"CMS Pages Options","گزینه‌های صفحات CMS"
"Categories Options","گزینه‌های رده‌ها"
"Daily","روزانه"
"Edit Sitemap","Edit ویرایش نقشه سایت"
"Enabled","فعال"
"Error Email Recipient","گیرنده‌ی ایمیل خطا"
"Error Email Sender","فرستنده‌ی ایمیل خطا"
"Error Email Template","قالب ایمیل خطا"
"Filename","نام فایل"
"Frequency","میزان تکرار"
"Generate","تولید"
"Generation Settings","تنظیمات تولید"
"Hourly","ساعتی"
"ID","شناسه"
"Link for Google","لینک برای گوگل"
"Monthly","ماهیانه"
"Never","هرگز"
"New Sitemap","نقشه سایت جدید"
"Path","مسير"
"Priority","اولویت"
"Products Options","گزینه‌های محصولات"
"Sitemap","نقشه سایت"
"Sitemap generate Warnings","اخطارهای تولید نقشه سایت"
"Start Time","زمان شروع"
"Store View","نمای فروشگاه"
"The priority must be between 0 and 1.","اولویت باید بین 0 و 1 باشد."
"This sitemap no longer exists.","این نقشه سایت دیگر موجود نیست."
"Weekly","هفتگی"
"Yearly","سالانه"
