"ALL","همه"
"ANY","هر یک"
"Add","اضافه کردن"
"Apply","اعمال"
"Conditions Combination","ترکیب شرط‌ها"
"FALSE","نادرست"
"Open Chooser","باز کردن انتخاب کننده"
"Perform following actions","اجرای کنش‌های زیر"
"Remove","برداشتن"
"TRUE","درست"
"by","توسط"
"contains","شامل"
"does not contain","شامل نیست"
"does not contains","شامل نمی شود"
"equals or greater than","برابر یا بزرگ‌تر از"
"equals or less than","برابر یا کم‌تر از"
"for","برای"
"for greater than","برای بزرگتر از"
"for or greater than","یا بزرگتر از"
"found","یافت شد"
"from","از"
"greater than","بزرگ‌تر از"
"is","هست"
"is not","نیست"
"is not one of","نیست یکی از"
"is one of","هست یکی از"
"less than","کمتر از"
"not found","یافت نشد"
"not from","نه از"
"to","تا"
"was","بود"
"was not","نبود"
