"--Please Select--","--لطفا انتخاب کنيد--"
"API Login ID","شناسه ورود به سيستم"
"Accepted Currency","ارز قابل قبول"
"Authorize.net Direct Post","پست مستقیم Authorize.net"
"Card Verification Number","CVV2"
"Card Verification Number Visual Reference","ارجاع دیداری CVV2"
"Close","بستن"
"Credit Card Information","اطلاعات كارت بانکی"
"Credit Card Number","شماره کارت بانکی"
"Credit Card Type","نوع کارت بانکی"
"Credit Card Types","انواع كارت بانکی"
"Credit Card Verification","تأیيد کارت بانکی"
"Debug","اشکال زدايي کردن"
"Email Customer","ايميل به مشتري"
"Enabled","فعال"
"Expiration Date","تاريخ انقضا"
"Gateway URL","URL گذرگاه"
"Maximum Order Total","مجموع حداکثر تعداد سفارش"
"Merchant MD5","مرچنت MD5"
"Merchant's Email","ايميل فروشنده"
"Minimum Order Total","مجموع حداقل تعداد سفارش"
"New Order Status","وضعيت سفارش جديد"
"Payment Action","عمل پرداخت"
"Payment from Applicable Countries","پرداخت از کشورهای قابل قبول"
"Payment from Specific Countries","پرداخت از کشورهای خاص"
"Sort Order","ترتيب سفارش"
"Test Mode","حالت آزمایشی"
"Title","عنوان"
"Transaction Key","كليد تراكنش"
"What is this?","اين چيست؟"
