"API Login ID","شناسه ورود به سيستم"
"Accepted Currency","ارز قابل قبول"
"Authorize Only","فقط مجاز"
"Authorize and Capture","احراز هویت و ضبط"
"Cancel","لغو"
"Credit Card Types","انواع كارت بانکی"
"Credit Card Verification","تأیيد کارت بانکی"
"Debug","اشکال زدايي کردن"
"Email Customer","ايميل به مشتري"
"Enabled","فعال"
"Invalid amount for capture.","مقدار نامعتبر برای ضبط."
"Invalid amount for refund.","مقدار نامعتبر برای استرداد وجه."
"Maximum Order Total","مجموع حداکثر تعداد سفارش"
"Merchant's Email","ايميل فروشنده"
"Minimum Order Total","مجموع حداقل تعداد سفارش"
"New Order Status","وضعيت سفارش جديد"
"Payment Action","عمل پرداخت"
"Payment capturing error.","خطای پرداخت."
"Payment from Applicable Countries","پرداخت از کشورهای قابل قبول"
"Payment from Specific Countries","پرداخت از کشورهای خاص"
"Payment refunding error.","خطای استرداد پرداخت."
"Payment voiding error.","خطا استرداد پرداخت."
"Sort Order","ترتيب سفارش"
"Test Mode","حالت آزمایشی"
"Title","عنوان"
"Transaction Key","كليد تراكنش"
"authorize","اجازه دادن"
"authorize and capture","اجازه و ضبط"
"capture","ضبط"
"failed","ناموفق"
"refund","استرداد"
"successful","موفق"
"void","از درجه اعتبار ساقط"
