"-- Please Select --","-- لطفا انتخاب کنيد --"
"1 column","1 ستونی"
"2 columns with left bar","2 ستونی با نوار سمت چپ"
"2 columns with right bar","2 ستونی با نوار سمت راست"
"3 columns","3 ستونی"
"About the calendar","درباره‌ی تقویم"
"Account","حساب"
"All Pages","همه‌ی صفحات"
"Allow","اجازه دادن"
"Close","بستن"
"Close Window","بستن پنجره"
"Default welcome msg!","پیام خوش آمد گویی پیش فرض!"
"Empty","خالی"
"Go Today","برو به امروز"
"JavaScript seems to be disabled in your browser.","به نظر می رسد جاوا اسکریپت در مرورگر شما غیر فعال است."
"Left Column","ستون چپ"
"Menu","منو"
"Next","بعدی"
"Page:","صفحه:"
"Previous","قبلی"
"Report All Bugs","گزارش همه‌ی باگ‌ها"
"Right Column","ستون راست"
"Search","جستجو"
"Select Store","انتخاب فروشگاه"
"Show","نمایش"
"View All","مشاهده‌ی همه"
"Your Language","زبان شما"
"Your Language:","زبان شما:"
"per page","در هر صفحه"
