"-- Please select --","-- لطفا انتخاب نمایید --"
"API Key","کلید API"
"Allowed Currencies","ارزهای مجاز"
"Base Currency","ارز مرجع"
"Connection Timeout in Seconds","مهلت اتصال به ثانیه"
"Country","كشور"
"Country and Format Type combination should be unique","کشور و ترکیب نوع فرمت باید یکتا باشند"
"Currency","واحد پول"
"Currency Options","گزینه های ارز"
"Currency Setup","راه اندازی ارز"
"Currency Update Warnings","اخطارهای به روز رسانی ارز"
"Default Display Currency","ارز پیش فرض"
"Enabled","فعال"
"Error Email Recipient","گیرنده‌ی ایمیل خطا"
"Error Email Sender","فرستنده‌ی ایمیل خطا"
"Error Email Template","قالب ایمیل خطا"
"FATAL ERROR:","خطاى جدى:"
"Frequency","میزان تکرار"
"Installed Currencies","ارزهای نصب شده"
"Scheduled Import Settings","تنظیمات ورود زمان بندی شده"
"Service","سرویس"
"Start Time","زمان شروع"
"State/Province","استان / شهرستان"
"WARNING:","اخطار:"
