"-- Please Select --","-- لطفا انتخاب کنيد --"
"Add New Class","افزودن کلاس جدید"
"Add New Tax Rate","افزودن نرخ مالیات جدید"
"Add New Tax Rule","افزودن قانون مالیات جدید"
"After Discount","پس از تخفیف"
"Apply Customer Tax","اعمال مالیات مشتری"
"Apply Discount On Prices","اعمال تخفیف بر قیمت‌ها"
"Apply Tax On","اعمال مالیات بر"
"Are you sure you want to do this?","آیا مطمئنید که می خواهید این کار را انجام دهید؟"
"Back","بازگشت"
"Before Discount","پیش از تخفیف"
"Calculation Settings","تنظیمات محاسبه"
"Catalog Prices","قیمت‌های کاتالوگ"
"Code","کد"
"Country","كشور"
"Custom price if available","قیمت سفارشی اگر موجود است"
"Customer Tax Class","کلاس مالیاتی مشتری"
"Customer Tax Classes","کلاس‌ های مالیاتی مشتری"
"Default Country","کشور پیش فرض"
"Default Post Code","کد پستی پیش فرض"
"Default State","ایالت پیش فرض"
"Default Tax Destination Calculation","محاسبه‌ی مقصد مالیات پیش فرض"
"Delete Rate","حذف نرخ"
"Delete Rule","حذف قانون"
"Display Full Tax Summary","نمایش خلاصه‌ی مالیات کامل"
"Display Prices","نمایش قیمت‌ها"
"Display Product Prices In Catalog","نمایش قیمت‌های محصول در کاتالوگ"
"Display Shipping Amount","نمایش مبلغ ارسال"
"Display Shipping Prices","نمایش قیمت‌های ارسال"
"Display Subtotal","نمایش جمع جز"
"Display Zero Tax Subtotal","نمایش جمع جز مالیات صفر"
"Edit Rule","ویرایش قانون"
"Edit Tax Rate","ویرایش نرخ مالیات"
"Enable Cross Border Trade","فعال کردن تجارت مرزی"
"Excel XML","اکسل XML"
"Excl. Tax","بدون مالیات"
"Excluding Tax","بدون مالیات"
"Export Tax Rates","صدور نرخ‌های مالیات"
"Grand Total (Excl. Tax)","جمع کل (مالیات غیر)"
"Grand Total (Excl.Tax)","جمع کل نهایی (بی مالیات)"
"Grand Total (Incl. Tax)","جمع کل (شامل مالیات)"
"Grand Total (Incl.Tax)","جمع کل نهایی (با مالیات)"
"Grand Total Excl. Tax","جمع کل نهایی بی مالیات"
"Grand Total Incl. Tax","جمع کل نهایی با مالیات"
"Import Tax Rates","ورود نرخ‌های مالیات"
"Inc. Tax","مالیات شرکت"
"Incl. Tax","با مالیات"
"Including Tax","شامل مالیات"
"Including and Excluding Tax","شامل و بدون مالیات"
"Invalid file upload attempt","کوشش برای آپلود فایل نامعتبر"
"Tax Rates","نرخ‌ های مالیات"
"Tax Rules","قوانین مالیات"
"Name","نام"
"New Rule","قانون جدید"
"New Tax Rate","نرخ مالیات جدید"
"No","خیر"
"None","هیچ یک"
"Orders, Invoices, Credit Memos Display Settings","سفارشات، فاکتورها، یادداشت های اعتباری تنظیمات صفحه نمایش"
"Original price only","تنها قیمت اصلی"
"Price Display Settings","تنظیمات نمایش قیمت"
"Priority","اولویت"
"Product Tax Class","کلاس مالیاتی محصول"
"Range From","از بازه‌ی"
"Range To","تا بازه‌ی"
"Range To should be equal or greater than Range From.","بازه پایانی باید مساوی یا بیشتر از بازه شروع باشد."
"Rate","نرخ"
"Rate Percent","درصد نرخ"
"Reset","بازنشانی"
"Row Total","جمع سطر"
"Sales","حراجی ها"
"Save Rate","ذخیره‌ی نرخ"
"Save Rule","ذخیره‌ی قانون"
"Save and Continue Edit","ذخيره و ادامه ويرايش"
"Shipping & Handling (Excl.Tax)","ارسال و بررسی (بی مالیات)"
"Shipping & Handling (Incl.Tax)","ارسال و بررسی (با مالیات)"
"Shipping (Excl. Tax)","ارسال (بی مالیات)"
"Shipping (Incl. Tax)","ارسال (با مالیات)"
"Shipping Prices","قیمت‌های ارسال"
"Shopping Cart Display Settings","تنظیمات نمایش سبد خرید"
"Sort Order","ترتيب سفارش"
"State","استان"
"State/Region","استان/منطقه"
"Subtotal (Excl. Tax)","جمع ​​(مالیات غیر)"
"Subtotal (Excl.Tax)","جمع جز (بی مالیات)"
"Subtotal (Incl. Tax)","جمع (شامل مالیات)"
"Subtotal (Incl.Tax)","جمع جز (با مالیات)"
"Tax","مالیات"
"Tax Calculation Based On","محاسبه مالیات بر اساس"
"Tax Calculation Method Based On","روش محاسبه‌ی مالیات بر اساس"
"Tax Class for Shipping","کلاس مالیات برای ارسال"
"Tax Classes","کلاس‌های مالیات"
"Tax Identifier","شناسه‌ی مالیات"
"Tax Rate","نرخ ماليات"
"Tax Rate Information","اطلاعات نرخ مالیات"
"Tax Rule Information","اطلاعات قانون مالیات"
"Tax Titles","عنواین مالیات"
"Tax rates at the same priority are added, others are compounded.","نرخ‌ها مالیات با اولویت یکسان افزوده شده‌اند، سایرین مرکب‌اند."
"The tax rate has been imported.","نرخ مالیات وارد شد."
"The tax rule has been deleted.","قانون مالیات حذف شد."
"This rule no longer exists.","این قانون دیگر وجود ندارد."
"Total","مجموع"
"Unit Price","قیمت واحد"
"Yes","بله"
"Zip/Post Code","کد پستی"
"Zip/Post is Range","کد پستی هست در بازه‌ی"
