"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Ligazón</a>"
"Done","Feito"
"ETA: %s","Tempo estimado: %s"
"Less than a minute","Menos dun minuto"
"Memory Used: %s","Memoria utilizada: %s"
"Processed records: %s","Rexistros procesados: %s"
"Sheet 1","Folla 1"
"Starting %s :: %s","Comezando %s :: %s"
"Total records: %s","Rexistros totais: %s"
"hour","hora"
"hours","horas"
"minute","minuto"
"minutes","minutos"
