"Active","Activo"
"Add Attribute Mapping","Engadir mapeamento de atributo"
"Add New Attribute","Engadir novo atributo"
"Add to Google Base","Engadir a Google Base"
"Are you sure?","Está vostede seguro?"
"Attribute","Atributo"
"Attribute Set","Grupo de atributo"
"Attribute Set and Item Type","Grupo de atributo e tipo de elemento"
"Attributes","Atributos"
"Attributes Set","Grupo de atributos"
"Available Products","Produtos dispoñibles"
"Cannot update Google Base Item for Store '%s'","Non se pode actualizar o elemento de Google Base para a tenda '%s'"
"Captcha confirmation error: %s","Erro na confirmación de Captcha : %s"
"Catalog","Catálogo"
"Clicks","Clics"
"ClientLogin","Nome de usuario do cliente"
"Confirm","Confirmar"
"Current Mapping will be reloaded. Continue?","Cargarase o mapeamento actual. Quere continuar?"
"Custom attribute, no mapping","Atributo personalizado sen mapeamento"
"Delete","Eliminar"
"Delete Mapping","Eliminar mapeamento"
"Edit Item Type","Editar tipo de elemento"
"Edit Item Type ""%s""","Editar tipo de elemento ""%s"""
"Error: %s","Erro: %s"
"Expires","Caduca"
"Google Base Attribute","Atributo de Google Base"
"Google Base ID","ID de Google Base"
"Google Base Item Type","Tipo de elemento de Google Base"
"Google Base Item type","Tipo de elemento de Google Base"
"Google Base Items","Elementos de Google Base"
"Hide","Ocultar"
"Invalid Product Model for Google Base Item","O modelo de produto non é válido para o elemento de Google Base"
"Item Type was deleted","Eliminouse o tipo de elemento"
"Item Types","Tipos de elemento"
"Items","Elementos"
"Manage Attribute Mapping","Xestionar o mapeamento de atributo"
"Manage Attributes","Xestionar atributos"
"Manage Items","Xestionar elementos"
"New Item Type","Novo tipo de elemento"
"No","Non"
"No items were deleted from Google Base","Non se eliminou ningún elemento do Google Base"
"No items were published","Non se publicou ningún elemento"
"No products were added to Google Base","Non se engadiron produtos ao Google Base"
"Please, select Attribute Set and Google Item Type to load attributes","Por favor, seleccione un conxunto de atributos e un tipo de elemento de Google para cargar os atributos"
"Product Name","Nome do produto"
"Publish","Publicar"
"Published","Publicado"
"Remove","Eliminar"
"Save Mapping","Gardar mapeamento"
"Synchronize","Sincronizar"
"Target Country","País de destino"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Esta acción actualizará as estatísticas dos elementos e eliminará os elementos que non están dispoñibles en Google Base. Desexa continuar?"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Non foi posible conectarse a Google Base. Por favor, verifique as configuracións da conta en configuración."
"View Available Products","Ver os produtos dispoñibles"
"View Item in Google Base","Ver elemento no Google Base"
"Yes","Si"
