"Add","Engadir"
"Add New Role","Engadir novo rol"
"Assigned","Asignado"
"Attribute Set","Grupo de atributo"
"Attributes","Atributos"
"Back","Volver"
"Backorders","Pedidos atrasados"
"Catalog","Catálogo"
"City","Cidade"
"Company","Empresa"
"Country","País"
"Coupon Code","Código Cupão"
"Create","Crear"
"Customer","Cliente"
"Delete","Eliminar"
"Discount","Desconto"
"Discount Amount","Valor Desconto"
"Edit","Editar"
"Edit Role","Editar rol"
"Email","Correo electrónico"
"Exclude","Excluir"
"First Name","Nome"
"Gift Message","Mensaxe de regalo"
"Grand Total","Total xeral"
"Group","Grupo"
"Guest","Convidado"
"Label","Etiqueta"
"Last Name","Apelido"
"Manage Stock","Xestionar almacén"
"Maximum Qty Allowed in Shopping Cart","Cantidade máxima permitida no carriño de compra"
"Minimum Qty Allowed in Shopping Cart","Cantidade mínima permitida no carriño de compra"
"Notify for Quantity Below","Avisar de cantidades por debaixo de"
"Order","Pedido"
"Order Comments","Comentarios de pedido"
"Order Date","Data de pedido"
"Order Status","Estado de pedido"
"Orders","Pedidos"
"Original Price","Prezo orixinal"
"Payment Method","Método de pagamento"
"Placed from IP","Realizado desde IP"
"Position","Posición"
"Price","Prezo"
"Product","Produto"
"Product ID","ID do produto"
"Product Type","Tipo de produto"
"Qty","Ctde"
"Qty Uses Decimals","As cantidades usan decimais"
"Role Info","Información do rol"
"Role Information","Información do rol"
"Role Name","Nome do rol"
"Role Users","Usuarios do rol"
"Roles","Níveis"
"Sales","Vendas"
"Save","Gardar"
"Shipping Amount","Importe de envío"
"Shipping Method","Método de envío"
"State","Estado"
"Stock Availability","Dispoñibilidade en almacén"
"Store Name","Nome da tenda"
"Subtotal","Sub-total"
"System","Sistema"
"Tax Amount","Valor Imposto"
"Tax Percent","Porcentaxe de imposto"
"Tax Rate","Taxa de imposto"
"Total Due","Débeda total"
"Total Paid","Pagado total"
"Total Refunded","Total reembolsado"
"Type","Tipo"
"Update","Actualizar"
"Web Services","Servizos web"
"Web services","Servizos web"
"ZIP/Postal Code","Código Postal"
