"Action","Acción"
"Add New Block","Engadir un novo bloque"
"Add New Page","Engadir unha páxina nova"
"Block Information","Información do bloque"
"Block Title","Título do bloque"
"CMS Home Page","Páxina de inicio do CMS"
"CMS No Route Page","Páxina sen ruta do CMS"
"Collapse All","Contraer todo"
"Content","Contido"
"Custom Design","Deseño personalizado"
"Custom Theme","Tema personalizado"
"Customer Tax Class Information","Información da clase de imposto do cliente"
"Date Created","Creado o"
"Delete Block","Borrar bloque"
"Delete Page","Borrar páxina"
"Description","Descrición"
"Design","Deseño"
"Disabled","Desactivado"
"Edit Block","Editar o bloque"
"Edit Block '%s'","Editar o bloque '%s'"
"Edit Page","Editar a páxina"
"Edit Page '%s'","Editar a páxina '%s'"
"Enabled","Activado"
"Expand All","Expandir todo"
"General Information","Información xeral"
"Go to Home Page","Ir á páxina de inicio"
"Home","Inicio"
"Identifier","Identificador"
"Keywords","Palabras chave"
"Last Modified","Última modificación"
"Layout","Disposición"
"Layout Update XML","Actualizar disposición XML"
"Manage Pages","Xestionar páxinas"
"Meta Data","Metadatos"
"Meta Description","Metadescrición"
"Meta Keywords","Metapalabras chave"
"New Block","Novo bloque"
"New Page","Nova páxina"
"Page Information","Información da páxina"
"Page Status","Estado da páxina"
"Page Title","Título da páxina"
"Product Tax Class Information","Información da clase de imposto do produto"
"Save Block","Gardar bloque"
"Save Page","Gardar páxina"
"Static Blocks","Bloques estáticos"
"Status","Estado"
"Store View","Visualización da tenda"
"Template","Modelo"
"Title","Título"
