"Actions","Accións"
"Add Answer","Engadir resposta"
"Add New Answer","Engadir nova resposta"
"Add New Poll","Engadir nova enquisa"
"Answer Title","Título da resposta"
"Answer Title:","Título da resposta:"
"Answer with the same title in this poll","Resposta co mesmo título nesta enquisa"
"Are you sure you want to delete it?","Está vostede seguro de que quere eliminalo?"
"Assigned Answers","Respostas asignadas"
"Closed","Pechado"
"Community Poll","Enquisa da comunidade"
"Date Closed","Data de peche"
"Date Posted","Data de publicación"
"Delete","Eliminar"
"Delete Answer","Eliminar resposta"
"Delete Poll","Eliminar enquisa"
"Edit Answer '%s'","Editar resposta '%s'"
"Edit Poll '%s'","Editar enquisa '%s'"
"Edit Poll Answer","Editar resposta da enquisa"
"New Poll","Nova enquisa"
"Number of Responses","Número de respostas"
"Open","Abrir"
"Poll Answers","Respostas da enquisa"
"Poll Information","Información da enquisa"
"Poll Manager","Xestor da enquisa"
"Poll Question","Pregunta da enquisa"
"Poll information","Información da enquisa"
"Poll with the same question","Enquisa coa mesma pregunta"
"Polls","Enquisas"
"Save Answer","Gardar resposta"
"Save Poll","Gardar enquisa"
"Status","Estado"
"Visible In","Visible en"
"Vote","Voto"
"Votes Count","Reconto de votos"
"Votes Count:","Reconto de votos:"
