"--Please Select--","--Por favor, seleccione--"
"API Login ID","API do ID de usuario"
"Card Verification Number","Número de verificación da tarxeta"
"Card Verification Number Visual Reference","Referencia visual do número de verificación da tarxeta"
"Close","Pechar"
"Credit Card Number","Número de tarxeta de crédito"
"Credit Card Type","Tipo de tarxeta de crédito"
"Credit Card Types","Tipos de tarxeta de crédito"
"Credit Card Verification","Verificación de tarxeta de crédito"
"Debug","Depuración"
"Enabled","Activado"
"Expiration Date","Data de caducidade"
"Gateway URL","URL da pasarela"
"Maximum Order Total","Total de pedido máximo"
"Minimum Order Total","Total de pedido mínimo"
"Order saving error: %s","Erro gardando o pedido: %s"
"Payment Action","Acción de pagamento"
"Payment authorization error.","Erro na autorización de pagamento."
"Sort Order","Orde de clasificación"
"There was an error processing your order. Please contact us or try again later.","Houbo un erro procesando o seu pedido. Contacte con nós ou ténteo de novo máis tarde."
"Title","Título"
"What is this?","Que é isto?"
