"%s and greater","%s e maiores"
"<strong>%d item(s)</strong> were found using the following search criteria","Atopáronse <strong>%d elemento(s)</strong> usando os seguintes criterios de busca"
"Advanced Search","Busca Avanzada"
"All","Todos"
"Catalog Advanced Search","Procura avanzada no catálogo"
"Catalog Search","Procura no catálogo"
"Don't see what you're looking for?","Non ve o que está buscando?"
"Go","Ir"
"Go to Home Page","Ir á páxina de inicio"
"Grid","Grade"
"Home","Inicio"
"List","Lista"
"Maximum Query Length","Lonxitude máxima da consulta"
"Maximum Query Words Count","Contador de palabras máximo da consulta"
"Minimal Query Length","Lonxitude mínima da consulta"
"Modify your search","Modificar a súa busca"
"No","Non"
"No items were found using the following search criteria.","Non se atopou ningún elemento seguindo os seus criterios de busca."
"Popular Search Terms","Termos de busca populares"
"Relevance","Relevancia"
"Results","Resultados"
"Search","Busca"
"Search Settings","Parámetros de busca"
"Search Terms","Termos de busca"
"Search Type","Tipo de busca"
"Search entire store here...","Buscar en toda a tenda aquí..."
"Search results for '%s'","Resultados da busca para '%s'"
"Search results for: '%s'","Resultados da busca para: '%s'"
"Subscribe to Feed","Subscrever Feed"
"There are no search terms available.","Non hai termos de busca dispoñibles."
"Yes","Si"
"Your search returns no results.","A súa busca non ofrece resultados."
"up to %s","ata %s"
