"Add Recipient","Engadir destinatario"
"Allow for Guests","Permitir convidados"
"Back","Volver"
"Email Address","Enderezo de correo electrónico"
"Email Address:","Enderezo de correo electrónico:"
"Email to a Friend","Correo para un amigo"
"Email:","Correo electrónico:"
"Enabled","Activado"
"Limit Sending By","Limitar o envío por"
"Max Products Sent in 1 Hour","Máximo de produtos enviados en 1 hora"
"Max Recipients","Máximo de destinatarios"
"Maximum %d email addresses allowed.","Máximo de enderezos de correo permitidos %d."
"Message:","Mensaxe:"
"Name","Nome"
"Name:","Nome:"
"Recipient:","Destinatario:"
"Remove Email","Eliminar correo"
"Send product to a friend","Enviar un produto a un amigo"
"Sender:","Remitente:"
