"Continue &raquo;","Nastavite &raquo;"
"Country","Država"
"Country and Format Type combination should be unique","Kombinacije zemlje i tipa formata mora biti jedinstvena"
"Currency","Valuta"
"Currency Options","Opcije valute"
"Currency Setup","Postavke valute"
"Currency Update Warnings","Upozorenja kod ažuriranja valute"
"Enabled","Omogućeno"
"Error Email Recipient","Greška na email primatelju"
"Error Email Sender","Greška na email pošiljatelju"
"Error Email Template","Greška na email predlošku"
"FATAL ERROR:","FATALNA GREŠKA:"
"Frequency","Učestalost"
"Installed Currencies","Instalirane valute"
"Invalid country code: %s","Neispravan kod zemlje: %s"
"Invalid rates received","Primljene su neispravne tečajne liste"
"Scheduled Import Settings","Isplanirane uvozne postavke"
"Select Your Currency","Odaberite vašu valutu"
"Service","Usluga"
"Start Time","Početno vrijeme"
"State/Province","Regija/pokrajina"
"WARNING:","UPOZORENJE:"
"Your current currency is: %s","Vaša trenutna valuta je: %s"
