"Continue Shopping","Nastavi kupnju"
"Email Sender","Email pošiljatelj"
"Enable","Omogući"
"Merchant Login","Login trgovca"
"Payment Action","Payment akcija"
"Thank you for your purchase!","Zahvaljujemo na narudžbi!"
"Title","Naslov"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Primit ćete email s potvrdom narudžbe te detaljima i linkom za praćenje vaše narudžbe."
