"* Select shipping method","* Odaberite način dostave"
"Amount: %s","Količina: %s"
"Continue Shopping URL","URL za nastavak kupovanja"
"Default price:","Standardna cijena:"
"Enable","Omogući"
"Expiration: %s","Istek: %s"
"Express Mail","Ekspresna pošta"
"Google Authorization:","Google autorizacija:"
"Google Checkout: %s","Google provjera: %s"
"Google Order Number: %s","Google broj narudžbe: %s"
"Home Delivery","Dostava kući"
"IP Address: %s","IP adresa: %s"
"Location","Lokacija"
"No","Ne"
"Optional, leave empty for home page.","Opcionalno, ostavi prazno za početnu stranicu."
"Title","Naslov"
"Total Charged: %s","Ukupno naplaćeno: %s"
"Total Refunded: %s","Ukupno vraćeno: %s"
"Yes","Da"
