"# of Use","# korištenja"
"%s Item(s)","%s Artikala"
"(Copy data from: %s)","(Kopiraj podatke iz: %)"
"* Required Fields","* Obavezna polja"
"-- Please Select --","-- Izaberite --"
"A name is required","Obavezno upisati ime"
"ALL GROUPS","SVE GRUPE"
"Action","Akcija"
"Add Attribute","Dodaj atribut"
"Add Design Change","Dodaj promjene dizajna"
"Add Group","Dodaj grupu"
"Add New","Dodaj novi"
"Add New Attribute","Dodaj novi atribut"
"Add New Attribute Set","Dodaj novi set atributa"
"Add New Group","Dodaj novu grupu"
"Add New Images","Dodaj nove slike"
"Add New Search Term","Dodaj novi pojam za pretraživanje"
"Add New Set","Dodaj novi set"
"Add Product","Dodaj proizvod"
"Add Product To Websites","Dodaj proizvod na web stranice"
"Add Tier","Dodaj uvjet"
"Add to Cart","Stavi u košaricu"
"Add to Compare","Dodaj za usporedbu"
"Add to Wishlist","Dodaj u listu želja"
"Additional Information","Dodatne informacije"
"All","Sve"
"All Product Types","Svi tipovi proizvoda"
"All Websites","Sve web stranice"
"Apply To","Primjeni na"
"Approved","Odobreno"
"Are you sure you want to delete this category?","Jeste li sigurni da želite obrisati ovu kategoriju?"
"Are you sure you would like to remove this item from the compare products?","Jeste li sigurni da želite obrisati ovaj proizvod s usporedne liste?"
"Are you sure?","Jeste li sigurni?"
"As low as:","Već po:"
"Associated Products","Pridijeljeni proizvodi"
"Attrib. Set Name","Ime seta atributa"
"Attribute Information","Podaci o atributu"
"Attribute Model","Model atributa"
"Attribute Name:","Naziv atributa:"
"Attribute Set","Set atributa"
"Attribute with the same code already exists","Atribut s istim kodom već postoji"
"Autogenerate","Aurogeneriranje"
"Back","Natrag"
"Backorders","Narudžbe na čekanju"
"Based On","Na osnovu"
"Best Value","najpovoljnijem"
"Bottom/Left","Dolje / lijevo"
"Bottom/Right","Dolje / desno"
"Browse By","Pregledaj po"
"Can be used only with catalog input type Dropdown","Može se koristiti samo uz tip ""Dropdown"""
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Može se koristiti samo uz tip ""Dropdown"", ""Multiple Select"" i ""Price"""
"Cancel","Poništi"
"Cart Item Attribute","Atribut artikla u košarici"
"Catalog","Katalog"
"Catalog Price Scope","Doseg kataloških cijena"
"Catalog, Search","Katalog, pretraživanje"
"Categories","Kategorije"
"Category","Kategorija"
"Category Data","Podaci kategorije"
"Category Products","Proizvodi ove kategorije"
"Category move error","Greška pri pomicanju kategorije"
"Change","Promijeni"
"Change status","Promijeni status"
"Choose an Option...","Odaberite opciju..."
"Close Window","Zatvori prozor"
"Comparable","Usporedivo"
"Comparable on Front-end","Usporedivo na vanjskom sučelju"
"Compare Products","Usporedba proizvoda"
"Conditions Combination","Kombinacija uvjeta"
"Configurable Product","Konfigurabilni proizvod"
"Configurable Product Settings","Postavke konfigurabilnih proizvoda"
"Continue","Nastavi"
"Copy From Configurable","Kopiraj iz konfigurabilnih"
"Create","Kreiraj"
"Create Empty","Napravi prazan"
"Create Product Settings","Kreiraj postavke proizvoda"
"Create Simple Associated Product","Kreiraj jednostavni pridruženi proizvod"
"Custom Design","Prilagođeni dizajn"
"Customer Group","Grupa kupaca"
"Customers Reviews","Recenzije kupaca"
"Customers Tagged Product","Proizvodi s oznakama kupaca"
"Data Type for Saving in Database","Tip podataka za spremanje u bazu"
"Date Subscribed","Datum prijave"
"Decimal","Decimalni broj"
"Default Values","Standardne vrijednosti"
"Delete","Obriši"
"Delete Attribute","Izbriši atribut"
"Delete Attribute Set","Obriši set atributa"
"Delete Category","Obriši kategoriju"
"Delete Option","Obriši opciju"
"Delete Search","Obriši pretraživanje"
"Delete Selected Group","Obriši odabranu grupu"
"Description","Opis"
"Design","Dizajn"
"Disabled","Isključen"
"Display in Suggested Terms","Prikaži u predloženim uvjetima"
"Double click on a group to rename it","Dvostruko kliknite na grupu da bi ste je preimenovali"
"Duplicate","Iskopiraj"
"Edit","Uredi"
"Edit Attribute Set '%s'","Ažuriraj set atributa '%s'"
"Edit Product Attribute","Ažuriraj atribute proizvoda"
"Edit Product Attribute ""%s""","Ažuriraj atribute proizvoda ""%s"""
"Edit Search","Ažuriraj pretraživanje"
"Edit Search '%s'","Ažuriraj pretraživanje '%s'"
"Email","email"
"Empty","Prazno"
"Enabled","Omogućeno"
"Exclude","Isključi"
"Failed","Neuspjelo"
"Failed to move file: %s","Neuspjelo prebacivanje datoteke: %s"
