"Action","Akcija"
"Add Sitemap","Dodaj mapu web-a"
"Always","Uvijek"
"CMS Pages Options","CMS opcije"
"Categories Options","Opcije kategorija"
"Daily","Dnevno"
"Enabled","Omogućeno"
"Error Email Recipient","Greška na email primatelju"
"Error Email Sender","Greška na email pošiljatelju"
"Error Email Template","Greška na email predlošku"
"Filename","Ime datoteke"
"Frequency","Učestalost"
"Generation Settings","Postavke za generiranje"
"Hourly","Svaki sat"
"Last Time Generated","Zadnji put generirano"
"Link for Google","Link za Google"
"Monthly","Mjesečno"
"Never","Nikad"
"New Sitemap","Nova mapa weba"
"Path","Putanja"
"Priority","Prioritet"
"Products Options","Opcije proizvoda"
"Sitemap generate Warnings","Upozorenja u vezi mape weba"
"Start Time","Početno vrijeme"
"Store View","Izlog"
"Weekly","Tjedno"
"Yearly","Godišnje"
