"ALL","SVE"
"ANY","BILO KOJI"
"Apply","Primjeni"
"Conditions Combination","Kombinacija uvjeta"
"FALSE","NETOČNO"
"If %s of these conditions are %s:","Ako je %s od tih uvjeta %s:"
"Perform following actions","Izvedi slijedeće akcije"
"Please choose a condition to add...","Molim odaberite uvjet za dodavanje..."
"Please choose an action to add...","Molim odaberite akciju za dodavanja..."
"Remove","Ukloni"
"TRUE","TOČNO"
"by","po"
"is","je"
"is not","nije"
"to","do"
