"Active","Aktivno"
"Add New Rule","Dodaj novo pravilo"
"Apply","Primjeni"
"Apply To","Primjeni na"
"Apply the rule only if the following conditions are met (leave blank for all products)","Primjeni pravilo samo ako su ispunjeni slijedeći uvjeti (ostavite prazno za sve proizvode)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Primjeni pravilo samo na artikle u košarici za koje su ispunjeni slijedeći uvjeti (ostavite prazno za sve artikle)"
"Apply the rule to cart items matching the following conditions","Primjeni pravilo na artikle u košarici za koje su ispunjeni slijedeći uvjeti"
"Buy X get Y free (discount amount is Y)","Kupi X uzmi Y besplatno (iznos popusta je Y)"
"By Fixed value","Prema fiksnoj vrijdnosti"
"By Percentage","Prema postotku"
"Cart Attribute","Atribut košarice"
"Catalog","Katalog"
"Conditions","Uvjeti"
"Conditions combination","Kombinacija uvjeta"
"Coupon Code","Kupon kod"
"Created On","Kreirano"
"Customer Groups","Grupe korisnika"
"Date Expire","Datum isteka"
"Date Start","Datum startao"
"Description","Opis"
"Discount Amount","Iznos popusta"
"Edit Rule","Uredi pravilo"
"Edit Rule '%s'","Uredi pravilo '%s'"
"Fixed amount discount","Popust sa fiksnim iznosom"
"Fixed amount discount for whole cart","Popust sa fiksnim iznosom za čitavu košaricu"
"For matching items only","Samo za artikle za koje su ispunjeni zadani uvjeti"
"For shipment with matching items","Za isporuku uz artikle za koje su ispunjeni zadani uvjeti"
"From Date","Od datuma"
"General Information","Opće informacije"
"Inactive","Neaktivno"
"NOT LOGGED IN","NISTE LOGIRANI"
"New Rule","Novo pravilo"
"No","Ne"
"Number of Uses","Broj korištenja"
"Payment Method","Način plaćanja"
"Percent of product price discount","Postotak popusta na cijenu proizvoda"
"Period","Razdoblje"
"Price in cart","Cijena košarice"
"Priority","Prioritet"
"Product attribute combination","Kombinacija atributa proizvoda"
"Promotions","Promocije"
"Quantity in cart","Količina u košarici"
"Row total in cart","Redak ukupno u košarici"
"Rule Information","Informacije o pravilu"
"Rule Name","Ime pravila"
"Shipping Country","Isporuka u zemlju"
"Shipping Method","Način dostave"
"Shipping Postcode","Poštanski broj isporuke"
"Shipping Region","Regija isporuke"
"Shipping State/Province","Regija/županija isporuke"
"Shopping Cart Price Rule","Cjenovno pravilo košarice"
"Shopping Cart Price Rules","Cjenovna pravila košarice"
"Subtotal","Ulupno"
"Subtotal Amount","Iznos ukupno"
"To Date","Do datuma"
"To Fixed Value","Prema fiksnoj vrijednosti"
"To Percentage","Prema postotku"
"Total","Ukupno"
"Total Amount","Ukupni iznos"
"Total Items Quantity","Ukupna količina artikala"
"Total Weight","Ukupna težina"
"Update prices using the following information","Ažuriraj cijene korištenjem slijedećih informaija"
"Update product's %s %s: %s","Dopuni artikle %s %s: %s"
"Update the Product","Ažuriraj proizvod"
"Website","Web stranica"
"Yes","Da"
