"1 Day Freight","1-dnevna dostava"
"2 Day Freight","2-dnevna dostava"
"3 Day Freight","3-dnevna dostava"
"Access ID","Pristupni ID"
"Account ID","ID korisničkog računa"
"Business Service Center","Poslovni servisni centar"
"Calculate Handling Fee","Izračunaj manipulativne troškove"
"Configuration","Konfiguracija"
"Container","Spremnik"
"Delivered","Dostavljeno"
"Displayed Error Message","Prikazana poruka o grešci"
"Drop Box","Padajući izbornik"
"Empty response","Prazan odgovor"
"Error #%s : %s (%s)","Greška #%s : %s (%s)"
"Error #%s: %s","Greška #%s: %s"
"Express","Ekspresno"
"Express 10:30 AM","Ekspresno 10:30"
"Express Saturday","Express subota"
"FedEx 10kg Box","FedEx 10kg paket"
"FedEx 25kg Box","FedEx 25kg paket"
"FedEx Box","FedEx paket"
"FedEx Envelope","FedEx omotnica"
"FedEx Pak","FedEx pakiranje"
"Gift","Poklon"
"Handling Fee","Manipulativni troškovi"
"Home Delivery","Dostava kući"
"Large","Velik"
"Letter","Pismo"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maksimalna težina paketa (Molimo konzultirajte  se sa svojim špediterom oko maksimalne dozvoljene težine pošiljke)"
"Next Afternoon","Sljedeće poslijepodne"
"No","Ne"
"Non-rectangular","Nestandardan"
"None","Nema"
"Order","Narudžba"
"Order #%s","Narudžba #%s"
"Package","Paket"
"Package Description","Opis paketa"
"Packaging","Pakiranje"
"Parcel","Pošiljka"
"Password","Lozinka"
"Receiver","Primatelj"
"Rectangular","Standardan"
"Required","Potrebno"
"Sender","Pošiljatelj"
"Shipment Dutiable","Pošiljka za carinjenje"
"Shipment is not available.","Pošiljka nije raspoloživa."
"Shipment picked up","Pošiljka preuzeta"
"Size","Dimenzije"
"Sort Order","Redosljed sortiranja"
"Subtotal","Ulupno"
"There is no available method for selected shipping address.","Za navedenu adresu ne postoji način dostave."
"Title","Naslov"
"Unknown error","Nepoznata greška"
"User ID","ID korisnika"
"Yes","Da"
