"Add Option","Dodaj opciju"
"Attempt to add an invalid object","Pokušaj dodavanja nedozvoljenog objekta"
"Attribute Code","Kod atributa"
"Attribute Label","Labela atributa"
"Attribute Properties","Svojstva atributa"
"Attribute with the same code","Atribut sa istom šifrom"
"Catalog Input Type for Store Owner","Tip podatka (za vlasnika trgovine)"
"Data integrity: No header row found for attribute","Integritet podataka: Ne postoji zaglavlje atributa"
"Decimal Number","Decimalni broj"
"Default Value","Zadana vrijednost"
"Default option value is not defined","Vrijednost osnovne opcije nije definirana"
"Delete","Obriši"
"Dropdown","Padajući"
"Email","email"
"Entity is not initialized","Entitet nije inicijaliziran"
"Integer Number","Cijeli broj"
"Invalid attribute name: %s","Neispravno ime atributa: %s"
"Invalid attribute requested: %s","Zatražen neispravan atribut: %s"
"Invalid attribute type","Neispravan tip atributa"
"Invalid character encountered in increment ID: %s","Neispravan znak u increment ID: %s"
"Invalid entity specified","Naznačen je neispravan entitet"
"Invalid entity supplied: %s","Naveden je neispravan entitet: %s"
"Invalid entity type","Neispravan tip entiteta"
"Invalid entity_type specified: %s","Naveden je neispravan tip entiteta: %s"
"Invalid foreign key","Neispravan strani ključ"
"Joined field with this alias is already declared","Vezana polja s tim aliasom su već deklarirana"
"Letters","Slova"
"Loaded %d records","Učitano %d zapis-a"
"No","Ne"
"None","Nema"
"Not shared with other products","Nije dijeljeno s drugim proizvodima"
"Problem saving the collection, aborting. Error: %s","Problem pri spremanju kolekcije, prekidam. Greška: %s"
"Required","Potrebno"
"System","Sistem"
"Text Area","Tekst područje"
"Text Field","Tekst polje"
"Unique Value","Jedinstvena vrijednost"
"Unique Value (not shared with other products)","Jedinstvena vrijednost (ne postoji kod drugih proizvoda)"
"Unknown parameter","Nepoznat parametar"
"Values Required","Obavezni podaci"
"Wrong attribute group ID","Pogrešan ID grupe atributa"
"Wrong attribute set ID","Pogrešan ID grupe atributa"
"Wrong entity ID","Pogrešan ID entiteta"
"Yes","Da"
"Yes/No","Da/Ne"
