"Allow Qty Below 0","Dozvoli količinu ispod 0"
"Allow Qty Below 0 and Notify Customer","Dozvoli količinu ispod 0 i obavijesti kupca"
"Backorders","Narudžbe na čekanju"
"By Fixed value","Prema fiksnoj vrijdnosti"
"By Percentage","Prema postotku"
"Decrease Stock When Order is Placed","Smanji količinu kad je napravljena narudžba"
"In Stock","Na skladištu"
"Inventory","Popis zaliha"
"Maximum Qty Allowed in Shopping Cart","Maksimalna količina dozvoljena u košarici"
"Minimum Qty Allowed in Shopping Cart","Maksimalna količina dozvoljena u košarici"
"No Backorders","Bez narudžbi na čekanju"
"Notify for Quantity Below","Upozori na količinu ispod"
"Out of Stock","Nema na skladištu"
"Product Name","Naziv proizvoda"
"Qty","Kol"
"Rule price","Pravilo cijene"
"Stock Options","Opcije skladišta"
"The requested quantity for ""%s"" is not available.","Zahtijevana količina za %s nije dostupna."
"To Fixed Value","Prema fiksnoj vrijednosti"
"To Percentage","Prema postotku"
"Update","Ažuriraj"
"Update the Product","Ažuriraj proizvod"
