"-- Please Select --","-- Izaberite --"
"Add New Class","Dodaj novu grupu"
"Add New Tax Rate","Dodaj novu poreznu stopu"
"Add New Tax Rule","Dodaj novo porezno pravilo"
"Are you sure you want to do this?","Jeste li sigurni da želite ovo?"
"Back","Natrag"
"Class Name","Naziv grupe"
"Code","Kod"
"Country","Država"
"Customer Tax Class Information","Informacija o poreznoj klasi kupca"
"Customer Tax Classes","Porezne grupe kupca"
"Delete Class","Obriši grupu"
"Delete Rate","Obriši stopu"
"Delete Rule","Obriši pravilo"
"Edit Class","Ažuriraj grupu"
"Edit Class '%s'","Ažuriraj grupu '%s'"
"Edit Rule","Uredi pravilo"
"Edit Tax Rate","Ažuriraj poreznu stopu"
"Export Tax Rates","Izvezi porezne stope"
"Import / Export Tax Rates","Uvezi / Izvezi porezne stope"
"Import Tax Rates","Uvezi porezne stope"
"Inc. Tax","Uklj. porez"
"Invalid file format upload attempt","Pokušaj unosa datoteke nepravilnog formata"
"Invalid file upload attempt","Pokušaj unosa nepravilne datoteke"
"Manage Customer Tax Classes","Uredi porezne grupe kupca"
"Manage Product Tax Classes","Uredi porezne grupe proizvoda"
"Manage Tax Rates","Uredi porezne stope"
"Manage Tax Rules","Uredi porezna pravila"
"Name","Naziv"
"New Class","Nova grupa"
"New Rule","Novo pravilo"
"New Tax Rate","Nova porezna stopa"
"No","Ne"
"None","Nema"
"Priority","Prioritet"
"Product Tax Class Information","Informacije o poreznoj klasi proizvoda"
"Product Tax Classes","Porezne grupe proizvoda"
"Reset","Resetiraj"
"Row Total","Suma retka"
"Save Class","Spremi grupu"
"Save Rate","Spremi poreznu stopu"
"Save Rule","Pravilo spremljeno"
"Sort Order","Redosljed sortiranja"
"State","Županija"
"State/Region","Županija/regija"
"Tax","Porez"
"Tax Rate","Porezna stopa"
"Tax Rate Information","Podaci o poreznoj stopi"
"Tax Rule Information","Podaci o poreznom pravilu"
"Tax Rules","Porezna pravila"
"This class no longer exists","Ova grupa više ne postoji"
"This rule no longer exists","Ovo pravilo više ne postoji"
"Total","Ukupno"
"Unit Price","Jedinična cijena"
"Yes","Da"
"You cannot delete this tax class as it is used for %d customer groups.","Ne možete obrisati ovu poreznu grupu jer se koristi za %d grupe kupaca."
"You cannot delete this tax class as it is used for %d products.","Ne možete obrisati ovu poreznu grupu jer se koristi za %d proizvoda."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Ne možete obrisati ovu poreznu grupu jer se koristi u poreznim pravilima. Morate najprije obrisati pravila gdje se ta porezna grupa koristi."
"Zip/Post Code","Poštanski broj"
