"Cancel","Poništi"
"Credit Card Types","Vrste kreditnih kartica"
"Credit Card Verification","Verifikacija kreditne kartice"
"Enabled","Omogućeno"
"Invalid amount for authorization.","Neispravan iznos za autorizaciju."
"Payment Action","Payment akcija"
"Payment authorization error.","Greška pri autorizaciji plaćanja."
"Sort Order","Redosljed sortiranja"
"Title","Naslov"
