"%s Item(s)","%s Artikala"
"(ver. %s)","(verzija %s)"
"-- Please Select --","-- Izaberite --"
"Close","Zatvori"
"Close Window","Zatvori prozor"
"Empty","Prazno"
"Help Us to Keep Magento Healthy","Pomozite nam da Magento održimo zdravim"
"Interface Language","Jezik sučelja"
"Items %s to %s of %s total","Artikli %s do %s od %s ukupno"
"Next","Slijedeći"
"Page:","Stranica:"
"Previous","Prethodni"
"Report All Bugs","Dojavite sve greške"
"Search","Traži"
"Select Store","Odaberite dućan"
"Show","Prikaži"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Ovo je demo webshop. Narudžbe napravljene u ovom webshopu neće biti uvažene niti provedene."
"View All","Prikaži sve"
"Welcome, %s!","Dobrodošli, %s!"
"Your Language","Vaš jezik"
"per page","po stranici"
